accession	complete	completeSingle	completeDuplicated	fragmented	missing	total	lineageDb	score	kingdom	phylum	class	order	family	genus	species	name	count_tyrosinases
UP000001357	201	201	0	19	35	255	eukaryota_odb10	86			Choanoflagellata	Craspedida	Salpingoecidae	Monosiga		Monosiga brevicollis (Choanoflagellate)	1.0
UP000007799	212	211	1	17	26	255	eukaryota_odb10	89			Choanoflagellata	Craspedida	Salpingoecidae	Salpingoeca		Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	6.0
UP000011087	203	194	9	26	26	255	eukaryota_odb10	89			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	Guillardia theta		
UP000502914	248	248	0	1	10	259	deltaproteobacteria_odb10	96			Deltaproteobacteria						
UP000003834	233	231	2	12	14	259	deltaproteobacteria_odb10	94			Deltaproteobacteria						
UP000476952	248	245	3	3	8	259	deltaproteobacteria_odb10	96			Deltaproteobacteria						
UP000482590	252	247	5	0	7	259	deltaproteobacteria_odb10	97			Deltaproteobacteria						
UP000469346	245	245	0	9	5	259	deltaproteobacteria_odb10	98			Deltaproteobacteria		Dissulfurirhabdaceae	Dissulfurirhabdus			
UP000249799	229	227	2	3	27	259	deltaproteobacteria_odb10	89			Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas			
UP000315995	242	237	5	3	14	259	deltaproteobacteria_odb10	94			Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Persicimonas			
UP000249169	227	226	1	4	28	259	deltaproteobacteria_odb10	89			Deltaproteobacteria	Bradymonadales	Lujinxingiaceae	Lujinxingia			
UP000321595	237	235	2	4	18	259	deltaproteobacteria_odb10	93			Deltaproteobacteria	Bradymonadales	Microvenatoraceae	Microvenator			
UP000809273	248	248	0	4	7	259	deltaproteobacteria_odb10	97			Deltaproteobacteria	Candidatus Zymogeniales	Candidatus Zymogenaceae	Candidatus Zymogenus			
UP000654075	120	49	71	27	24	171	alveolata_odb10	85			Dinophyceae	Suessiales	Suessiaceae	Polarella		Polarella glacialis (Dinoflagellate)	8.0
UP001152797	142	93	49	11	18	171	alveolata_odb10	89			Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium		Cladocopium goreaui	5.0
UP000186817	138	123	15	15	18	171	alveolata_odb10	89			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium		Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	6.0
UP000601435	110	100	10	24	37	171	alveolata_odb10	78			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium		Symbiodinium necroappetens	7.0
UP000604046	119	91	28	21	31	171	alveolata_odb10	81			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium		Symbiodinium natans	9.0
UP000639591	121	105	16	19	31	171	alveolata_odb10	81			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium		Symbiodinium sp. CCMP2456	7.0
UP000643038	131	115	16	16	24	171	alveolata_odb10	85			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium		Symbiodinium sp. CCMP2592	4.0
UP000697958	162	149	13	2	7	171	alveolata_odb10	95			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya			
UP000748552	155	142	13	7	9	171	alveolata_odb10	94			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya			
UP000355283	92	90	2	4	4	100	stramenopiles_odb10	96			Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Microchloropsis	Microchloropsis salina		
UP000019335	85	82	3	10	5	100	stramenopiles_odb10	95			Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Nannochloropsis		Nannochloropsis gaditana	1.0
UP000008743	239	216	23	6	10	255	eukaryota_odb10	96			Filasterea			Capsaspora	Capsaspora owczarzaki		
UP000054560	161	153	8	60	34	255	eukaryota_odb10	86			Ichthyosporea	Ichthyophonida		Sphaeroforma	Sphaeroforma arctica	Sphaeroforma arctica JP610	2.0
UP000002729	85	82	3	10	5	100	stramenopiles_odb10	95			Pelagophyceae	Pelagomonadales		Aureococcus		Aureococcus anophagefferens (Harmful bloom alga)	33.0
UP000789595	88	83	5	2	10	100	stramenopiles_odb10	90			Pelagophyceae	Pelagomonadales		Pelagomonas		Pelagomonas calceolata	3.0
UP000002630	97	97	0	3	0	100	stramenopiles_odb10	100			Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)	29.0
UP000485383	84	82	2	3	13	100	stramenopiles_odb10	87			Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		Ectocarpus sp. CCAP 1310/34	25.0
UP000664859	93	90	3	2	5	100	stramenopiles_odb10	95			Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema		Tribonema minus	3.0
UP000237684	116	116	0	4	4	124	bacteria_odb10	96		Abditibacteriota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	Abditibacterium			
UP000324789	599	594	5	1	1	601	acidobacteria_odb10	99		Acidobacteriota							
UP000006791	525	521	4	5	71	601	acidobacteria_odb10	88		Acidobacteriota	Blastocatellia			Chloracidobacterium	Chloracidobacterium thermophilum		
UP000031518	567	561	6	1	33	601	acidobacteria_odb10	94		Acidobacteriota	Blastocatellia	Blastocatellales	Pyrinomonadaceae	Pyrinomonas			
UP000653166	520	511	9	6	75	601	acidobacteria_odb10	87		Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix			
UP000625220	453	436	17	24	124	601	acidobacteria_odb10	79		Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae			Bryobacteraceae bacterium	1.0
UP000593892	585	581	4	4	12	601	acidobacteria_odb10	98		Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Paludibaculum		Paludibaculum fermentans	1.0
UP000279598	582	579	3	3	16	601	acidobacteria_odb10	97		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidipila			
UP000295210	599	599	0	0	2	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidipila			
UP000253606	590	587	3	2	9	601	acidobacteria_odb10	98		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidisarcina			
UP000002207	598	597	1	0	3	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum		
UP000515312	600	600	0	0	1	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Alloacidobacterium			
UP000236728	593	592	1	0	8	601	acidobacteria_odb10	98		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Bryocella			
UP000269669	599	598	1	0	2	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter			
UP000292958	596	590	6	0	5	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter		Edaphobacter modestus	1.0
UP000515460	599	599	0	0	2	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter			
UP000568106	596	595	1	1	4	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter			
UP000647241	594	593	1	4	3	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter			
UP000648801	595	594	1	3	3	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter			
UP000198356	597	596	1	0	4	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella		Granulicella rosea	1.0
UP000199024	598	596	2	0	3	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella		Granulicella pectinivorans	1.0
UP000289437	596	593	3	1	4	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella			
UP000540989	596	592	4	0	5	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella			
UP000589520	599	598	1	1	1	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella			
UP000513480	587	587	0	0	14	601	acidobacteria_odb10	97		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella			
UP000515496	578	577	1	2	21	601	acidobacteria_odb10	96		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella		Granulicella sp. 5B5	1.0
UP000007113	594	593	1	0	7	601	acidobacteria_odb10	98		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	Granulicella mallensis	Granulicella mallensis (strain ATCC BAA-1857 / DSM 23137 / MP5ACTX8)	1.0
UP000000343	600	596	4	0	1	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	Granulicella tundricola		
UP000002432	596	594	2	0	5	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Koribacter	Candidatus Koribacter versatilis		
UP001059380	596	592	4	1	4	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Occallatibacter		Occallatibacter riparius	1.0
UP000264702	600	600	0	0	1	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Paracidobacterium			
UP000290253	598	597	1	1	2	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Silvibacterium			
UP000538666	600	600	0	1	0	601	acidobacteria_odb10	100		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Silvibacterium			
UP000182427	598	595	3	0	3	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus			
UP000321820	598	591	7	0	3	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus			
UP000006056	598	554	44	0	3	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus	Terriglobus roseus		
UP000006844	600	596	4	0	1	601	acidobacteria_odb10	99		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus	Terriglobus saanensis	Terriglobus saanensis (strain ATCC BAA-1853 / DSM 23119 / SP1PR4)	2.0
UP000027284	473	469	4	13	115	601	acidobacteria_odb10	80		Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculum			
UP000441471	492	487	5	9	100	601	acidobacteria_odb10	83		Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea			
UP000076079	525	519	6	11	65	601	acidobacteria_odb10	89		Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea		Luteitalea pratensis	3.0
UP000604530	519	513	6	11	71	601	acidobacteria_odb10	88		Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea			
UP000473322	252	247	5	20	84	356	actinobacteria_class_odb10	76		Actinomycetota	Acidimicrobiia						
UP000032360	264	260	4	14	78	356	actinobacteria_class_odb10	78		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidithrix			
UP000184295	264	262	2	13	79	356	actinobacteria_class_odb10	77		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrithrix	Ferrithrix thermotolerans		
UP000334019	288	284	4	12	56	356	actinobacteria_class_odb10	84		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola			
UP000824224	266	260	6	13	77	356	actinobacteria_class_odb10	78		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Aquihabitans			
UP000294558	285	281	4	11	60	356	actinobacteria_class_odb10	83		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter			
UP000011863	285	282	3	10	61	356	actinobacteria_class_odb10	82		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter coccineus		
UP000018291	279	275	4	14	63	356	actinobacteria_class_odb10	82		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Microthrixaceae	Microthrix	Candidatus Microthrix parvicella	Candidatus Microthrix parvicella RN1	1.0
UP000003868	284	283	1	4	4	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes						
UP000036180	253	251	2	7	32	292	actinobacteria_phylum_odb10	89		Actinomycetota	Actinomycetes						
UP000037870	290	289	1	1	1	292	actinobacteria_phylum_odb10	99		Actinomycetota	Actinomycetes					Actinobacteria bacterium OV320	2.0
UP000037991	291	290	1	1	0	292	actinobacteria_phylum_odb10	100		Actinomycetota	Actinomycetes					Actinobacteria bacterium OK074	1.0
UP000035517	252	248	4	3	37	292	actinobacteria_phylum_odb10	87		Actinomycetota	Actinomycetes						
UP000253495	291	291	0	1	0	292	actinobacteria_phylum_odb10	100		Actinomycetota	Actinomycetes			Halopolyspora			
UP000008221	284	284	0	0	8	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Acidothermales	Acidothermaceae	Acidothermus	Acidothermus cellulolyticus		
UP000196124	284	284	0	3	5	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales					
UP000233335	287	287	0	2	3	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales					
UP000292654	259	254	5	17	16	292	actinobacteria_phylum_odb10	94		Actinomycetota	Actinomycetes	Actinomycetales					
UP000182744	266	266	0	1	25	292	actinobacteria_phylum_odb10	91		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinobaculum			
UP000273303	285	285	0	1	6	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinobaculum			
UP000009888	270	270	0	2	20	292	actinobacteria_phylum_odb10	93		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinobaculum	Actinobaculum massiliense		
UP000016495	274	274	0	7	11	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinobaculum	Actinobaculum sp. oral taxon 183		
UP000029604	261	258	3	4	27	292	actinobacteria_phylum_odb10	90		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000035029	273	273	0	3	16	292	actinobacteria_phylum_odb10	94		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000176960	280	280	0	3	9	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000184291	287	287	0	0	5	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000266895	287	287	0	0	5	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000271272	287	287	0	0	5	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000276899	288	288	0	1	3	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000284680	287	283	4	0	5	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000594637	281	280	1	2	9	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000595895	276	276	0	2	14	292	actinobacteria_phylum_odb10	95		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000595973	285	285	0	0	7	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000614239	288	288	0	1	3	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces			
UP000003822	271	271	0	1	20	292	actinobacteria_phylum_odb10	93		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii		
UP000002941	286	286	0	2	4	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces massiliensis		
UP000005351	284	284	0	2	6	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. oral taxon 448		
UP000003600	270	270	0	12	10	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. oral taxon 849		
UP000004778	272	272	0	14	6	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis		
UP000235308	257	257	0	5	30	292	actinobacteria_phylum_odb10	89		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinotignum			
UP000014393	259	259	0	3	30	292	actinobacteria_phylum_odb10	89		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinotignum	Actinotignum schaalii		
UP000245283	281	281	0	1	10	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Ancrocorticia			
UP000054502	221	221	0	2	69	292	actinobacteria_phylum_odb10	76		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium			
UP000293036	283	282	1	1	8	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium			
UP000000376	262	262	0	2	28	292	actinobacteria_phylum_odb10	90		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium haemolyticum		
UP000186465	262	262	0	5	25	292	actinobacteria_phylum_odb10	91		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Boudabousia			
UP000186785	269	269	0	2	21	292	actinobacteria_phylum_odb10	92		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Boudabousia			
UP000176288	272	272	0	3	17	292	actinobacteria_phylum_odb10	94		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Boudabousia			
UP000185628	275	274	1	3	14	292	actinobacteria_phylum_odb10	95		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Bowdeniella			
UP000185612	282	282	0	2	8	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Buchananella			
UP000270021	284	284	0	1	7	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Flaviflexus			
UP000280344	265	265	0	0	27	292	actinobacteria_phylum_odb10	90		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Flaviflexus			
UP000235448	262	262	0	4	26	292	actinobacteria_phylum_odb10	91		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Gleimia			
UP000010301	268	268	0	5	19	292	actinobacteria_phylum_odb10	93		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Gleimia	Gleimia coleocanis		
UP000006742	273	273	0	8	11	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii		
UP000003045	272	272	0	4	16	292	actinobacteria_phylum_odb10	94		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus mulieris		
UP000627538	285	285	0	0	7	292	actinobacteria_phylum_odb10	97		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Nanchangia			
UP000078368	275	275	0	0	17	292	actinobacteria_phylum_odb10	94		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Peptidiphaga			
UP000250192	279	279	0	3	10	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia			
UP000280444	279	279	0	3	10	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia			
UP000594631	286	286	0	1	5	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia			
UP000617426	289	289	0	1	2	292	actinobacteria_phylum_odb10	99		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia			
UP000683503	287	287	0	2	3	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia			
UP000013015	288	288	0	3	1	292	actinobacteria_phylum_odb10	99		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia cardiffensis		
UP000003994	289	289	0	1	2	292	actinobacteria_phylum_odb10	99		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia turicensis		
UP000054404	281	281	0	1	10	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella			
UP000269542	273	273	0	1	18	292	actinobacteria_phylum_odb10	93		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella			
UP000018843	266	263	3	12	14	292	actinobacteria_phylum_odb10	95		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum cambriense		
UP000006075	279	279	0	4	9	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Winkia	Winkia neuii		
UP000199213	290	289	1	1	1	292	actinobacteria_phylum_odb10	99		Actinomycetota	Actinomycetes	Actinopolysporales	Actinopolysporaceae	Actinopolyspora			
UP000239352	289	289	0	0	3	292	actinobacteria_phylum_odb10	98		Actinomycetota	Actinomycetes	Actinopolysporales	Actinopolysporaceae	Actinopolyspora			
UP000266454	238	237	1	20	34	292	actinobacteria_phylum_odb10	88		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae				
UP000228976	244	244	0	1	47	292	actinobacteria_phylum_odb10	83		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Aeriscardovia			
UP000243657	267	267	0	3	22	292	actinobacteria_phylum_odb10	92		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia			
UP000016519	268	268	0	5	19	292	actinobacteria_phylum_odb10	93		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Alloscardovia omnicolens		
UP000029004	280	278	2	2	10	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium			
UP000029014	272	270	2	6	14	292	actinobacteria_phylum_odb10	95		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium			
UP000029033	275	273	2	4	13	292	actinobacteria_phylum_odb10	95		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium			
UP000029050	279	277	2	2	11	292	actinobacteria_phylum_odb10	96		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium			
