A0A024FZ14,78-283
A0A813FA30,231-491
A0A813FLF8,214-474
A0A813G5P0,231-491
A0A813G5P9,126-386
A0A813HEG4,232-492
A0A813HFF9,214-474
A0A814YW27,97-170
A0A815XYA0,100-352
A0A835YKM2,189-249
A0A835YKM2,264-424
A0A835Z854,171-356
A0A835Z8Z2,216-402
A0A8B7YYH0,691-843
A0A8K0EF69,675-839
A0A8K0EH44,675-839
A0A8K0EJ61,675-839
A0A8K0F103,172-335
A0A8K0KU96,329-399
A0A8K1CQT5,60-261
A0A8K1FGS2,3-180
A0A8K1FHV1,63-262
A0A8K1FNX2,76-273
A0A8S3PR53,1-28
A0A8S3PVY6,139-232
A0A8S3PVY6,253-300
A0A8S3Q5H1,464-530
A0A8S3Q668,233-270
A0A8S3QA83,123-211
A0A8S3QAJ7,12-48
A0A8S3QB60,85-147
A0A8S3QC53,6-77
A0A8S3QCE6,75-245
A0A8S3QWK8,213-271
A0A8S3QX30,34-111
A0A8S3R0Y5,2-28
A0A8S3R459,351-448
A0A8S3RH67,2-41
A0A8S3RMS5,61-124
A0A8S3RPR7,1-28
A0A8S3RV95,82-158
A0A8S3RVL9,161-314
A0A8S3RYS0,116-210
A0A8S3RYS0,229-266
A0A8S3S002,104-199
A0A8S3S028,154-332
A0A8S3S066,59-129
A0A8S3S1J4,154-332
A0A8S3SP90,8-70
A0A8S3STA5,201-348
A0A8S3THE5,103-157
A0A8S3THQ2,213-271
A0A8S3THZ3,139-214
A0A8S3THZ3,252-307
A0A8S3TNC7,97-147
A0A8S3TP64,3-41
A0A8S3TTS7,160-249
A0A8S3TYI0,4-28
A0A8S3U769,13-158
A0A8S3UAS9,18-70
A0A8S3UBY5,15-167
A0A8S3UI17,110-196
A0A8S3UJV5,28-70
A0A8S3UL77,87-237
A0A8S3UMH0,2-30
A0A8S3UT28,78-130
A0A8S3UWG2,151-223
A0A8S3UWG2,274-324
A0A8S3VDM9,153-184
A0A8X6I0D3,36-199
A0A8X6I0D3,789-945
A0A8X6KWP2,358-521
A0A8X6L5F2,36-102
A0A9D2WSC4,112-171
A0A9P8HZ59,74-340
A0A9Q1H4M8,651-812
A9T0R4,66-136
D0N106,69-242
D0N9K5,242-445
D0N9M9,21-208
D0NAA1,75-255
D0NCQ4,5-60
D0NCQ4,118-158
D0NCR3,73-270
D0NCR4,101-280
D0ND79,40-119
D0ND81,66-232
D0P2C7,7-88
E7EQI3,33-126
F2UDI5,763-851
F2UDI5,889-927
F2UDJ6,744-832
F2UDJ6,865-908
F2UGX9,737-825
F2UGX9,846-900
F2UK53,711-800
F2UK53,832-876
F2UT47,387-476
F2UT47,492-552
F4L4G6,96-184
F4L4G6,207-258
F4NWE6,67-238
F6QPY3,3-149
F6QQ72,1-169
F6THS9,1-169
F6WL94,183-397
H2Y0R3,1-69
H2Y187,1-28
J9DAB6,50-109
J9DAB6,129-210
K0RH99,10-39
