A0A059JJQ6,78-318
A0A8E2J837,137-370
A0A8E2JHT1,69-315
A0A8H3EN91,87-342
A0A8H3FB07,81-301
A0A8H3FLJ8,106-271
A0A8H3FNM0,130-318
A0A8H3FR24,72-351
A0A8H3FVH9,87-303
A0A8H3FYE1,94-321
A0A8H3G5H2,74-316
A0A8H3G6G5,91-314
A0A8H3I335,132-325
A0A8H3IAU0,117-307
A0A8H3IF87,88-356
A0A8H3IRN5,384-670
A0A8H3IRP0,91-313
A0A8H3J0U5,62-342
A0A8H3J3F8,69-391
A0A8H3U2Q4,73-322
A0A8H3UFY5,83-285
A0A8H3V839,64-283
A0A8H3WZW9,69-362
A0A8H3XIS9,71-364
A0A8H3YLS0,78-330
A0A8H3YMW2,56-300
A0A8H3YPL6,42-256
A0A8H3YQ24,57-293
A0A8H3Z1L5,97-313
A0A8H3Z1W3,96-287
A0A8H3ZAJ8,119-297
A0A8H4AMR5,56-344
A0A8H4AZG0,71-362
A0A8H4B004,69-362
A0A8H4C5A1,73-265
A0A8H4C6U6,75-283
A0A8H4C956,36-309
A0A8H4CAL0,99-327
A0A8H4CD88,101-337
A0A8H4CE41,177-354
A0A8H4CHB6,97-324
A0A8H4CIC1,65-262
A0A8H4CIP3,82-266
A0A8H4CJG9,148-320
A0A8H4CJL9,79-296
A0A8H4CL76,69-246
A0A8H4CL90,71-255
A0A8H4CME3,114-348
A0A8H4CNT5,66-254
A0A8H4CP16,64-343
A0A8H4CPR6,39-273
A0A8H4CQC8,112-348
A0A8H4CRX0,67-253
A0A8H4CT47,67-254
A0A8H4CUC1,75-306
A0A8H4CVC9,110-353
A0A8H4CX26,72-281
A0A8H4CXN0,66-280
A0A8H4ELV1,124-320
A0A8H4ER60,70-346
A0A8H4ERI9,11-295
A0A8H4ESM0,75-377
A0A8H4ESV6,78-368
A0A8H4EUW6,69-362
A0A8H4FBY6,109-345
A0A8H4FFA4,68-270
A0A8H4FHG1,95-296
A0A8H4FI02,74-302
A0A8H4FM17,73-252
A0A8H4FMR9,105-335
A0A8H4FPA4,81-273
A0A8H4FPM4,126-357
A0A8H4FQ42,78-290
A0A8H4FQ80,95-326
A0A8H7AB16,19-236
A0A8H7AEH3,140-415
A0A8H7AFZ9,60-331
A0A8H7E323,73-304
A0A8H7E394,74-313
A0A8J5NLS7,67-269
A0A8J5NND1,71-281
A0A8J5NR04,54-385
A0A8J5NRV3,67-285
A0A8J5P700,99-324
A0A8J5P8T9,75-313
A0A8J5PCQ5,73-377
A0A8J5TNI1,78-432
A0A8J5TR18,86-342
A0A8J5TU76,76-434
A0A8J5TWT7,109-342
A0A8J5TY65,42-260
A0A8T8SAS9,4-177
A0A8T8SBY8,125-335
A0A8T8SC70,125-335
A0A9P1H0N5,108-321
A0A9P1H4K9,23-206
A0A9P1H547,460-628
A0A9P1H6D2,51-268
A0A9P1H7B8,23-174
A0A9P1H8G6,104-290
A0A9P1M7K0,282-492
A0A9P1ME48,116-349
A0A9P4I4W6,62-325
A0A9P4I595,68-259
A0A9P4IKI1,131-377
A0A9P4IKZ6,73-308
A0A9P4M4U2,82-326
A0A9P4M8Q7,63-315
A0A9P4S3D7,76-313
A0A9P4S7W4,105-335
A0A9P4SB82,68-398
A0A9P4SC62,102-330
A0A9P4SDQ3,111-361
A0A9P4SEQ9,2-95
A0A9P4SI96,113-358
A0A9P4SJP1,3-154
A0A9P4SKK5,93-311
A0A9P4VMM4,33-283
A0A9P4VSJ9,89-339
A0A9P5JXT8,85-296
A0A9P5JY23,85-299
A0A9P5JYN0,85-296
A0A9P5JYN9,67-280
A0A9P5JYU8,85-296
A0A9P5JZA9,85-299
A0A9P5JZI2,85-296
A0A9P5MS31,55-299
A0A9P5MS95,55-300
A0A9P5MSK9,82-294
A0A9P5MVU0,74-291
A0A9P6H427,82-297
A0A9P6H4S6,88-293
A0A9P6H6N4,83-305
A0A9P6H6P2,84-306
A0A9P6HAV3,83-302
A0A9P6HE18,79-298
A0A9P6HEG3,80-299
A0A9P6HES9,80-295
A0A9P6HFP7,80-302
A0A9P6L1G9,79-300
A0A9P6QMX7,36-326
A2Q9V3,115-347
A2QFP6,96-324
A2QTR2,83-306
A2QUC2,108-336
A2QYL5,42-331
A2R6E6,89-282
A2RBK8,221-378
A7UWM5,101-338
A7UX66,102-338
A8MZV5,65-287
A8MZX9,63-288
A8N3D8,109-320
A8N3K9,109-323
A8N3S0,91-307
A8N4B1,129-348
A8N4B2,128-347
A8N4N8,79-300
A8N4N9,80-288
A8N991,199-371
A8NBL1,92-324
A8NDI8,80-332
A8NKU3,77-283
A8NL26,83-321
A8NQE7,81-314
A8NSL2,65-339
A8P1K6,83-297
A8P1Q9,58-279
B2A910,152-403
B2AB03,58-316
B2ALA7,74-282
B2AM93,230-393
B2ANC0,68-250
B2AP35,96-294
B2API2,102-279
B2ARH2,97-333
B2ATH2,93-307
B2AU58,59-359
B2B1L7,163-391
B2B2Q9,81-310
D5G590,81-287
D5GIK5,344-599
D5GIM5,54-309
D5GL91,169-396
D6RL64,50-298
E3KSA5,127-311
E3L5F5,164-355
G0RC29,73-312
G0RRF5,90-345
G2Q3M6,93-344
G2Q526,92-319
G2Q551,35-224
G2QC95,111-343
G2QGH3,112-336
G2QH67,92-276
G2QIM7,113-293
G2QJJ3,89-310
G2QLD3,120-351
G2QVS9,40-238
G2QVY2,103-329
G2R003,77-319
G2R0R5,111-346
G2R639,117-284
G2R6U9,117-352
G2RCR3,56-314
G2RFH3,90-347
G2RG43,62-253
G4TM93,48-300
G4TM94,48-298
G4TM95,47-304
G4TU73,108-326
G4TVT3,126-342
G4TYT1,108-326
H6BWF1,95-318
H6C0N0,117-348
H6C0Q8,92-315
H6C7R7,79-323
H6QSQ9,143-334
I1REA5,104-337
I1RHT4,105-332
I1RIA1,70-280
I1RJ03,67-285
I1RKU0,74-275
I1RLQ5,74-349
I1RNP4,87-346
I1S2V3,61-257
I1S3N0,37-313
I1S3X8,106-332
K2QYV7,116-354
K2R561,111-345
K2R6Z6,50-220
K2R777,85-320
K2RF87,103-357
K2RLK6,70-291
K2RPY3,13-203
K2RQ67,88-301
K2RZA2,111-347
K2S416,40-271
K5UXV0,54-302
K5VYQ3,54-302
M5C284,17-212
M5C5W9,54-364
P00440,58-319
Q2GNG2,62-274
Q2GQ28,101-316
Q2GQI5,103-338
Q2GYT0,27-207
Q2GZJ4,105-326
Q2H2F5,109-340
Q2H5C8,79-306
Q2H5H1,121-345
Q2H7D7,63-378
Q2H7I7,111-343
Q2H8J8,64-259
Q2HCB5,547-728
Q2HEC0,92-342
Q2HF52,73-287
Q4WFT7,96-324
Q7S0E7,65-258
Q7S218,109-375
Q7S4R1,148-352
Q7SFK3,98-361
Q8J130,60-371
S7QB03,96-310
U7PL38,118-350
U7PQI0,94-343
U7PQY9,28-281
U7PSB9,103-321
U7PU60,111-335
U7PUG4,76-326
V5IPR9,94-332
