	kingdom	phylum	class	order	family	genus	species	count_tyrosinases	taxid	name	complete	completeSingle	completeDuplicated	fragmented	missing	total	lineageDb	score	proteomeCount	stdCdss	averageCdss	confidence	status
UP000799436	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeria	Teratosphaeria nubilosa	6	161662	Teratosphaeria nubilosa	3626	3623	3	61	99	3786	dothideomycetes_odb10	97	41	0.0	0	0	Outlier (low value)
UP000243723	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe	Elsinoe australis	5	40998	Elsinoe australis	3532	3528	4	60	194	3786	dothideomycetes_odb10	94	0	0.0	0	0	Unknown
UP000809789	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe	Elsinoe batatas	5	2601811	Elsinoe batatas	3553	3542	11	20	213	3786	dothideomycetes_odb10	94	0	0.0	0	0	Unknown
UP000243797	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Sphaceloma	Sphaceloma murrayae	3	2082308	Sphaceloma murrayae	3598	3595	3	33	155	3786	dothideomycetes_odb10	95	0	0.0	0	0	Unknown
UP000799439	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Myriangiaceae	Myriangium	Myriangium duriaei	4	1168546	Myriangium duriaei CBS 260.36	3529	3514	15	58	199	3786	dothideomycetes_odb10	94	0	0.0	0	0	Unknown
UP000250266	Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Argynnaceae	Lepidopterella	Lepidopterella palustris	6	1314670	Lepidopterella palustris CBS 459.81	3728	3707	21	21	37	3786	dothideomycetes_odb10	99	0	0.0	0	0	Unknown
UP000799750	Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	Lophium	Lophium mytilinum	10	390894	Lophium mytilinum	3697	3689	8	28	61	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000504636	Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	Mytilinidion	Mytilinidion resinicola	8	574789	Mytilinidion resinicola	3687	3676	11	42	57	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000250140	Fungi	Ascomycota	Dothideomycetes	NA	Gloniaceae	Glonium	Glonium stellatum	20	574774	Glonium stellatum	3563	3548	15	119	104	3786	dothideomycetes_odb10	97	0	0.0	0	0	Unknown
UP000016924	Fungi	Ascomycota	Dothideomycetes	NA	NA	Coniosporium	Coniosporium apollinis	3	1168221	Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast)	3687	3680	7	45	54	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000308768	Fungi	Ascomycota	Dothideomycetes	NA	NA	Cryomyces	Cryomyces minteri	2	331657	Cryomyces minteri	3295	2100	1195	176	315	3786	dothideomycetes_odb10	91	0	0.0	0	0	Unknown
UP000503462	Fungi	Ascomycota	Dothideomycetes	NA	NA	Peltaster	Peltaster fructicola	5	286661	Peltaster fructicola	3406	3401	5	79	301	3786	dothideomycetes_odb10	92	0	0.0	0	0	Unknown
UP000800200	Fungi	Ascomycota	Dothideomycetes	NA	Zopfiaceae	Zopfia	Zopfia rhizophila	19	1314779	Zopfia rhizophila CBS 207.26	3716	3689	27	19	51	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000799429	Fungi	Ascomycota	Dothideomycetes	Patellariales	Patellariaceae	Patellaria	Patellaria atrata	12	1346257	Patellaria atrata CBS 101060	3552	3548	4	55	179	3786	dothideomycetes_odb10	95	0	0.0	0	0	Unknown
UP000799640	Fungi	Ascomycota	Dothideomycetes	Phaeotrichales	Phaeotrichaceae	Trichodelitschia	Trichodelitschia bisporula	5	703511	Trichodelitschia bisporula	3347	3339	8	59	380	3786	dothideomycetes_odb10	89	0	0.0	0	0	Unknown
UP000799779	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Amniculicola	Amniculicola lignicola	20	1392246	Amniculicola lignicola CBS 123094	5785	5770	15	98	758	6641	pleosporales_odb10	88	0	0.0	0	0	Unknown
UP000240883	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Corynesporascaceae	Corynespora	Corynespora cassiicola	26	1448308	Corynespora cassiicola Philippines	6173	6123	50	88	380	6641	pleosporales_odb10	94	0	0.0	0	0	Unknown
UP000800039	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Cucurbitaria	Cucurbitaria berberidis	10	1168544	Cucurbitaria berberidis CBS 394.84	6434	6428	6	29	178	6641	pleosporales_odb10	97	0	0.0	0	0	Unknown
UP000077535	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta sp. DS3sAY3a	15	765867	Pyrenochaeta sp. DS3sAY3a	6511	6484	27	38	92	6641	pleosporales_odb10	98	0	0.0	0	0	Unknown
UP000785799	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta sp. MPI-SDFR-AT-0127	16	2829485	Pyrenochaeta sp. MPI-SDFR-AT-0127	6385	6353	32	44	212	6641	pleosporales_odb10	96	0	0.0	0	0	Unknown
UP000799536	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Delitschiaceae	Delitschia	Delitschia confertaspora	13	1513339	Delitschia confertaspora ATCC 74209	5294	5283	11	83	1264	6641	pleosporales_odb10	80	0	0.0	0	0	Unknown
UP000800038	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Diademaceae	Clathrospora	Clathrospora elynae	12	706981	Clathrospora elynae	6413	6396	17	30	198	6641	pleosporales_odb10	97	0	0.0	0	0	Unknown
UP000651452	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta	Ascochyta lentis	17	205686	Ascochyta lentis	6449	6437	12	34	158	6641	pleosporales_odb10	97	0	0.0	0	0	Unknown
UP000076837	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta	Ascochyta rabiei	16	5454	Didymella rabiei (Chickpea ascochyta blight fungus) (Mycosphaerella rabiei)	6273	6243	30	31	337	6641	pleosporales_odb10	94	0	0.0	0	0	Unknown
UP000800082	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella exigua	13	1150837	Didymella exigua CBS 183.55	6289	6283	6	76	276	6641	pleosporales_odb10	95	0	0.0	0	0	Unknown
UP000758155	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella heteroderae	18	1769908	Didymella heteroderae	6234	6207	27	110	297	6641	pleosporales_odb10	95	0	0.0	0	0	Unknown
UP000193240	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum nigrum	18	105696	Epicoccum nigrum (Soil fungus) (Epicoccum purpurascens)	6273	6267	6	136	232	6641	pleosporales_odb10	96	0	0.0	0	0	Unknown
UP000800036	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Bimuria	Bimuria novae-zelandiae	19	1447943	Bimuria novae-zelandiae CBS 107.79	6130	6097	33	67	444	6641	pleosporales_odb10	93	0	0.0	0	0	Unknown
UP000800093	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeria	Didymosphaeria enalia	16	85948	Didymosphaeria enalia	5797	5788	9	112	732	6641	pleosporales_odb10	88	0	0.0	0	0	Unknown
UP000799764	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Karstenula	Karstenula rhodostoma	19	1392251	Karstenula rhodostoma CBS 690.94	6192	6172	20	72	377	6641	pleosporales_odb10	94	0	0.0	0	0	Unknown
UP000756921	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria minitans	14	565426	Paraphaeosphaeria minitans	6123	6094	29	34	484	6641	pleosporales_odb10	92	0	0.0	0	0	Unknown
UP000077069	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria sporulosa	20	1460663	Paraphaeosphaeria sporulosa	6356	6343	13	69	216	6641	pleosporales_odb10	96	0	0.0	0	0	Unknown
UP000799771	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae	Dothidotthia	Dothidotthia symphoricarpi	12	1392245	Dothidotthia symphoricarpi CBS 119687	6157	6148	9	51	433	6641	pleosporales_odb10	93	0	0.0	0	0	Unknown
UP000799291	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Lentithecium	Lentithecium fluviatile	14	1168545	Lentithecium fluviatile CBS 122367	6198	6177	21	55	388	6641	pleosporales_odb10	94	0	0.0	0	0	Unknown
UP000800096	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces	Ampelomyces quisqualis	7	50730	Ampelomyces quisqualis (Powdery mildew agent)	6160	6157	3	90	391	6641	pleosporales_odb10	94	0	0.0	0	0	Unknown
UP000002668	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria maculans	9	985895	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)	6024	6023	1	231	386	6641	pleosporales_odb10	94	0	0.0	0	0	Unknown
UP000799424	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ophiobolus	Ophiobolus disseminans	16	1469910	Ophiobolus disseminans	6469	6457	12	30	142	6641	pleosporales_odb10	97	0	0.0	0	0	Unknown
UP000799423	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus tracheiphilus	14	1408161	Plenodomus tracheiphilus IPT5	6462	6450	12	40	139	6641	pleosporales_odb10	97	0	0.0	0	0	Unknown
UP000193144	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Clohesyomyces	Clohesyomyces aquaticus	18	1231657	Clohesyomyces aquaticus	6060	6044	16	141	440	6641	pleosporales_odb10	93	0	0.0	0	0	Unknown
UP000799324	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma macrostomum	13	1314788	Lophiostoma macrostomum CBS 122681	5989	5962	27	72	580	6641	pleosporales_odb10	91	0	0.0	0	0	Unknown
UP000799770	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema	Lophiotrema nucula	19	690887	Lophiotrema nucula	6105	6083	22	57	479	6641	pleosporales_odb10	92	0	0.0	0	0	Unknown
UP000800035	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Byssothecium	Byssothecium circinans	18	147558	Byssothecium circinans	6010	5921	89	75	556	6641	pleosporales_odb10	91	0	0.0	0	0	Unknown
UP000799753	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Massarina	Massarina eburnea	18	1395130	Massarina eburnea CBS 473.64	5939	5924	15	84	618	6641	pleosporales_odb10	90	0	0.0	0	0	Unknown
UP000077206	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	Stagonospora sp. SRC1lsM3a	25	765868	Stagonospora sp. SRC1lsM3a	6566	6551	15	31	44	6641	pleosporales_odb10	99	0	0.0	0	0	Unknown
UP000799757	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Melanomma	Melanomma pulvis-pyrius	17	1314802	Melanomma pulvis-pyrius CBS 109.77	6096	6080	16	71	474	6641	pleosporales_odb10	92	0	0.0	0	0	Unknown
UP000799778	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Aaosphaeria	Aaosphaeria arxii	16	1450172	Aaosphaeria arxii CBS 175.79	5975	5937	38	58	608	6641	pleosporales_odb10	90	0	0.0	0	0	Unknown
UP000481861	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Massariosphaeria	Massariosphaeria phaeospora	16	100035	Massariosphaeria phaeospora	5841	5820	21	62	738	6641	pleosporales_odb10	88	0	0.0	0	0	Unknown
UP000244855	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia macrospinosa	27	97972	Periconia macrospinosa	5897	5837	60	94	650	6641	pleosporales_odb10	90	0	0.0	0	0	Unknown
UP000813461	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma chrysanthemicola	21	798071	Paraphoma chrysanthemicola	6475	6447	28	28	138	6641	pleosporales_odb10	97	0	0.0	0	0	Unknown
UP000001055	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum	16	321614	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)	5832	5828	4	541	268	6641	pleosporales_odb10	95	0	0.0	0	0	Unknown
UP000730381	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria sp. MPI-PUGE-AT-0046c	22	2821754	Phaeosphaeria sp. MPI-PUGE-AT-0046c	6512	6498	14	39	90	6641	pleosporales_odb10	98	0	0.0	0	0	Unknown
UP000799777	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setomelanomma	Setomelanomma holmii	19	210430	Setomelanomma holmii	6464	6448	16	61	116	6641	pleosporales_odb10	98	0	0.0	0	0	Unknown
UP000799428	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Pleomassaria	Pleomassaria siparia	14	1314801	Pleomassaria siparia CBS 279.74	5934	5924	10	73	634	6641	pleosporales_odb10	90	0	0.0	0	0	Unknown
