protein_acc	proteome_acc	species
A0A061HFI6	UP000053110	Blumeria graminis
A0A061HSG6	UP000053110	Blumeria graminis
A0A063BRM1	UP000027002	Ustilaginoidea virens
A0A066UUQ3	UP000027042	Rhizoctonia solani
A0A066UVL3	UP000027042	Rhizoctonia solani
A0A066UWM2	UP000027042	Rhizoctonia solani
A0A066UZ70	UP000027042	Rhizoctonia solani
A0A066V4T8	UP000027042	Rhizoctonia solani
A0A066V7K0	UP000027042	Rhizoctonia solani
A0A066V7Y1	UP000027042	Rhizoctonia solani
A0A066V9L9	UP000027042	Rhizoctonia solani
A0A066VAV1	UP000027042	Rhizoctonia solani
A0A066VBK5	UP000027042	Rhizoctonia solani
A0A066VC10	UP000027042	Rhizoctonia solani
A0A066VCC5	UP000027042	Rhizoctonia solani
A0A066VFQ9	UP000027042	Rhizoctonia solani
A0A066VGF8	UP000027042	Rhizoctonia solani
A0A066VIC0	UP000027042	Rhizoctonia solani
A0A066VJ14	UP000027042	Rhizoctonia solani
A0A066VKT9	UP000027042	Rhizoctonia solani
A0A066VWF6	UP000027042	Rhizoctonia solani
A0A066VY28	UP000027042	Rhizoctonia solani
A0A066W0T2	UP000027042	Rhizoctonia solani
A0A066W295	UP000027042	Rhizoctonia solani
A0A066W7C5	UP000027042	Rhizoctonia solani
A0A066WLX5	UP000027042	Rhizoctonia solani
A0A066WMU7	UP000027042	Rhizoctonia solani
A0A066WXF3	UP000027238	Colletotrichum sublineola
A0A066X3Q1	UP000027238	Colletotrichum sublineola
A0A066X6L4	UP000027238	Colletotrichum sublineola
A0A066X7V3	UP000027238	Colletotrichum sublineola
A0A066X846	UP000027238	Colletotrichum sublineola
A0A066X9U3	UP000027238	Colletotrichum sublineola
A0A066XLM3	UP000027238	Colletotrichum sublineola
A0A066XQD0	UP000027238	Colletotrichum sublineola
A0A066XSE1	UP000027238	Colletotrichum sublineola
A0A066XSY6	UP000027238	Colletotrichum sublineola
A0A066XW40	UP000027238	Colletotrichum sublineola
A0A066XWR5	UP000027238	Colletotrichum sublineola
A0A066XZ78	UP000027238	Colletotrichum sublineola
A0A066Y1D2	UP000027238	Colletotrichum sublineola
A0A066Y1V3	UP000027238	Colletotrichum sublineola
A0A066Z0K1	UP000027178	Kitasatospora cheerisanensis
A0A067BLT8	UP000030745	Saprolegnia parasitica
A0A067BLZ4	UP000030745	Saprolegnia parasitica
A0A067BRT6	UP000030745	Saprolegnia parasitica
A0A067BTT5	UP000030745	Saprolegnia parasitica
A0A067BUS0	UP000030745	Saprolegnia parasitica
A0A067BX73	UP000030745	Saprolegnia parasitica
A0A067BZH5	UP000030745	Saprolegnia parasitica
A0A067C156	UP000030745	Saprolegnia parasitica
A0A067C173	UP000030745	Saprolegnia parasitica
A0A067C4V3	UP000030745	Saprolegnia parasitica
A0A067C5L8	UP000030745	Saprolegnia parasitica
A0A067C631	UP000030745	Saprolegnia parasitica
A0A067CPX4	UP000030745	Saprolegnia parasitica
A0A067CT24	UP000030745	Saprolegnia parasitica
A0A067CXC8	UP000030745	Saprolegnia parasitica
A0A067CZT6	UP000030745	Saprolegnia parasitica
A0A067D5R2	UP000030745	Saprolegnia parasitica
A0A067D814	UP000030745	Saprolegnia parasitica
A0A067GK93	UP000027120	Citrus sinensis
A0A067JAU2	UP000027138	Jatropha curcas
A0A067MC03	UP000027195	Botryobasidium botryosum
A0A067MC09	UP000027195	Botryobasidium botryosum
A0A067ME78	UP000027195	Botryobasidium botryosum
A0A067MJR9	UP000027195	Botryobasidium botryosum
A0A067MN37	UP000027195	Botryobasidium botryosum
A0A067MSX0	UP000027195	Botryobasidium botryosum
A0A067N7R8	UP000027073	Pleurotus ostreatus
A0A067NHK1	UP000027073	Pleurotus ostreatus
A0A067NVB7	UP000027073	Pleurotus ostreatus
A0A067NXD0	UP000027073	Pleurotus ostreatus
A0A067PHP8	UP000027265	Jaapia argillacea
A0A067PPZ9	UP000027265	Jaapia argillacea
A0A067PSS3	UP000027265	Jaapia argillacea
A0A067S9C3	UP000027222	Galerina marginata
A0A067T9P6	UP000027222	Galerina marginata
A0A067TCE7	UP000027222	Galerina marginata
A0A067TKM5	UP000027222	Galerina marginata
A0A068NQY3	UP000027982	Fimbriimonas ginsengisoli
A0A068TU86	UP000295252	Coffea canephora
A0A068UD36	UP000295252	Coffea canephora
A0A068UEN7	UP000295252	Coffea canephora
A0A068UEP3	UP000295252	Coffea canephora
A0A068VB21	UP000295252	Coffea canephora
A0A068VBG9	UP000295252	Coffea canephora
A0A068VNV4	UP000295252	Coffea canephora
A0A072P207	UP000027920	Exophiala aquamarina
A0A072P5W0	UP000027920	Exophiala aquamarina
A0A072P8W8	UP000027920	Exophiala aquamarina
A0A072PBX4	UP000027920	Exophiala aquamarina
A0A072PCR1	UP000027920	Exophiala aquamarina
A0A072PH66	UP000027920	Exophiala aquamarina
A0A072PJG5	UP000027920	Exophiala aquamarina
A0A072PV79	UP000027920	Exophiala aquamarina
A0A072Q6Y5	UP000027920	Exophiala aquamarina
A0A074RCL1	UP000027456	Rhizoctonia solani
A0A074RG36	UP000027456	Rhizoctonia solani
A0A074RJD3	UP000027456	Rhizoctonia solani
A0A074RK37	UP000027456	Rhizoctonia solani
A0A074RKY4	UP000027456	Rhizoctonia solani
A0A074RLS0	UP000027456	Rhizoctonia solani
A0A074RRF8	UP000027456	Rhizoctonia solani
A0A074RSM2	UP000027456	Rhizoctonia solani
A0A074RSY5	UP000027456	Rhizoctonia solani
A0A074RTB9	UP000027456	Rhizoctonia solani
A0A074RWE6	UP000027456	Rhizoctonia solani
A0A074RXC0	UP000027456	Rhizoctonia solani
A0A074RXE5	UP000027456	Rhizoctonia solani
A0A074RXR6	UP000027456	Rhizoctonia solani
A0A074RYB7	UP000027456	Rhizoctonia solani
A0A074S0H8	UP000027456	Rhizoctonia solani
A0A074S2B5	UP000027456	Rhizoctonia solani
A0A074S7C5	UP000027456	Rhizoctonia solani
A0A074S7W9	UP000027456	Rhizoctonia solani
A0A074S897	UP000027456	Rhizoctonia solani
A0A074S9M8	UP000027456	Rhizoctonia solani
A0A074SA15	UP000027456	Rhizoctonia solani
A0A074SDG0	UP000027456	Rhizoctonia solani
A0A074SDL0	UP000027456	Rhizoctonia solani
A0A074SFZ9	UP000027456	Rhizoctonia solani
A0A074SK72	UP000027456	Rhizoctonia solani
A0A074SK81	UP000027456	Rhizoctonia solani
A0A074SUA9	UP000027456	Rhizoctonia solani
A0A074VDT7	UP000030672	Aureobasidium melanogenum
A0A074VGZ0	UP000030672	Aureobasidium melanogenum
A0A074VI76	UP000030672	Aureobasidium melanogenum
A0A074VIF5	UP000030672	Aureobasidium melanogenum
A0A074W682	UP000030672	Aureobasidium melanogenum
A0A074W6F3	UP000027730	Aureobasidium namibiae
A0A074WGJ9	UP000027730	Aureobasidium namibiae
A0A074WJS2	UP000027730	Aureobasidium namibiae
A0A074WWD6	UP000027730	Aureobasidium namibiae
A0A074X475	UP000027730	Aureobasidium namibiae
A0A074XC75	UP000030706	Aureobasidium pullulans
A0A074XNA1	UP000030706	Aureobasidium pullulans
A0A074XND5	UP000030706	Aureobasidium pullulans
A0A074XR97	UP000030706	Aureobasidium pullulans
A0A074XWE1	UP000030706	Aureobasidium pullulans
A0A074Y1Q9	UP000030641	Aureobasidium subglaciale
A0A074YH07	UP000030641	Aureobasidium subglaciale
A0A074YPA7	UP000030641	Aureobasidium subglaciale
A0A074YPF6	UP000030641	Aureobasidium subglaciale
A0A074YQS1	UP000030641	Aureobasidium subglaciale
A0A074Z7G7	UP000054324	Opisthorchis viverrini
A0A074ZDD7	UP000054324	Opisthorchis viverrini
A0A074ZHJ0	UP000054324	Opisthorchis viverrini
A0A074ZPR2	UP000054324	Opisthorchis viverrini
A0A075AEH4	UP000054324	Opisthorchis viverrini
A0A075AU36	UP000030755	Rozella allomycis
A0A075AX41	UP000030755	Rozella allomycis
A0A075AYG4	UP000030755	Rozella allomycis
A0A075AZW6	UP000030755	Rozella allomycis
A0A075B1D3	UP000030755	Rozella allomycis
A0A076FRP2	UP000189702	Gossypium hirsutum
A0A077S4H3	UP000019116	Triticum aestivum
A0A078AII6	UP000039865	Stylonychia lemnae
A0A078ARQ6	UP000039865	Stylonychia lemnae
A0A081CKB9	UP000053758	Moesziomyces antarcticus
A0A081XZW0	UP000028341	Streptomyces toyocaensis
A0A084FV28	UP000028545	Scedosporium apiospermum
A0A084FV70	UP000028545	Scedosporium apiospermum
A0A084G098	UP000028545	Scedosporium apiospermum
A0A084G330	UP000028545	Scedosporium apiospermum
A0A084G3K0	UP000028545	Scedosporium apiospermum
A0A084G593	UP000028545	Scedosporium apiospermum
A0A084G5H0	UP000028545	Scedosporium apiospermum
A0A084G6B5	UP000028545	Scedosporium apiospermum
A0A084G7S9	UP000028545	Scedosporium apiospermum
A0A084G7V9	UP000028545	Scedosporium apiospermum
A0A084G9G0	UP000028545	Scedosporium apiospermum
A0A084GAD1	UP000028545	Scedosporium apiospermum
A0A084GCK1	UP000028545	Scedosporium apiospermum
A0A084GDW0	UP000028545	Scedosporium apiospermum
A0A084GGH5	UP000028545	Scedosporium apiospermum
A0A084GGL7	UP000028545	Scedosporium apiospermum
A0A084QC22	UP000028524	Stachybotrys chlorohalonata
A0A084QCB8	UP000028524	Stachybotrys chlorohalonata
A0A084QJ67	UP000028524	Stachybotrys chlorohalonata
A0A084QQ18	UP000028524	Stachybotrys chlorohalonata
A0A084QWG9	UP000028524	Stachybotrys chlorohalonata
A0A084QX23	UP000028524	Stachybotrys chlorohalonata
A0A084QY85	UP000028524	Stachybotrys chlorohalonata
A0A084QZJ0	UP000028524	Stachybotrys chlorohalonata
A0A084R0Y5	UP000028524	Stachybotrys chlorohalonata
A0A084R149	UP000028524	Stachybotrys chlorohalonata
A0A084R1I5	UP000028524	Stachybotrys chlorohalonata
A0A086J2K3	UP000054524	Nematocida ausubeli
A0A086SV08	UP000029964	Acremonium chrysogenum
A0A086T0Z5	UP000029964	Acremonium chrysogenum
A0A086WE43	UP000028843	Massilia sp. BSC265
A0A087QSF6	UP000053286	Aptenodytes forsteri
A0A087R0E2	UP000053286	Aptenodytes forsteri
A0A087RFL1	UP000053286	Aptenodytes forsteri
A0A087UWG6	UP000054359	Stegodyphus mimosarum
A0A087UWG8	UP000054359	Stegodyphus mimosarum
A0A087V2P2	UP000053309	Balearica regulorum
A0A087X5L9	UP000028760	Poecilia formosa
A0A087XJW4	UP000028760	Poecilia formosa
A0A087XNB6	UP000028760	Poecilia formosa
A0A087YDX2	UP000028760	Poecilia formosa
A0A087YHH7	UP000028760	Poecilia formosa
A0A089WYP0	UP000029482	Streptomyces glaucescens
A0A089X5M9	UP000029482	Streptomyces glaucescens
A0A090CH20	UP000001197	Podospora anserina
A0A090CL68	UP000001197	Podospora anserina
A0A090CMR9	UP000001197	Podospora anserina
A0A090CWC0	UP000001197	Podospora anserina
A0A090D4S5	UP000001197	Podospora anserina
A0A090KP27	UP000035682	Strongyloides ratti
A0A090L4G2	UP000035682	Strongyloides ratti
A0A090L5U2	UP000035682	Strongyloides ratti
A0A090LAX1	UP000035682	Strongyloides ratti
A0A090LH51	UP000035682	Strongyloides ratti
A0A091DE91	UP000028990	Fukomys damarensis
A0A091EJM4	UP000052976	Corvus brachyrhynchos
A0A091EJW4	UP000052976	Corvus brachyrhynchos
A0A091EQ39	UP000028990	Fukomys damarensis
A0A091EQG7	UP000052976	Corvus brachyrhynchos
A0A091FU06	UP000053760	Cuculus canorus
A0A091GBZ3	UP000053760	Cuculus canorus
A0A091GGF7	UP000053760	Cuculus canorus
A0A091H384	UP000054064	Buceros rhinoceros
A0A091HA89	UP000054064	Buceros rhinoceros
A0A091HDB5	UP000054064	Buceros rhinoceros
A0A091HSS0	UP000054308	Calypte anna
A0A091IFA6	UP000054308	Calypte anna
A0A091ISS4	UP000054308	Calypte anna
A0A091IY37	UP000053119	Egretta garzetta
A0A091JF89	UP000053119	Egretta garzetta
A0A091JYW2	UP000053615	Colius striatus
A0A091K495	UP000053615	Colius striatus
A0A091K9P7	UP000053615	Colius striatus
A0A091L5Q5	UP000053745	Cathartes aura
A0A091L9M2	UP000053745	Cathartes aura
A0A091LD51	UP000053745	Cathartes aura
A0A091M3M6	UP000054116	Cariama cristata
A0A091MG12	UP000054116	Cariama cristata
A0A091MMY9	UP000053537	Acanthisitta chloris
A0A091N6A9	UP000053537	Acanthisitta chloris
A0A091N6N3	UP000053537	Acanthisitta chloris
A0A091NYE1	UP000054244	Apaloderma vittatum
A0A091P6C8	UP000054379	Haliaeetus albicilla
A0A091P7E8	UP000053001	Leptosomus discolor
A0A091P9Q0	UP000054379	Haliaeetus albicilla
A0A091Q771	UP000053001	Leptosomus discolor
A0A091QFD1	UP000053001	Leptosomus discolor
A0A091QKA4	UP000052967	Merops nubicus
A0A091QM34	UP000052967	Merops nubicus
A0A091RH37	UP000053369	Mesitornis unicolor
A0A091S066	UP000053369	Mesitornis unicolor
A0A091SAS8	UP000053840	Nestor notabilis
A0A091T007	UP000053840	Nestor notabilis
A0A091TDY4	UP000053840	Nestor notabilis
A0A091TFJ5	UP000053638	Phaethon lepturus
A0A091TMG5	UP000054150	Pelecanus crispus
A0A091U7D6	UP000053700	Phoenicopterus ruber
A0A091U7Y5	UP000053638	Phaethon lepturus
A0A091V703	UP000053700	Phoenicopterus ruber
A0A091VK98	UP000053283	Nipponia nippon
A0A091W054	UP000053605	Opisthocomus hoazin
A0A091W550	UP000053605	Opisthocomus hoazin
A0A091W941	UP000053283	Nipponia nippon
A0A091WPJ3	UP000053605	Opisthocomus hoazin
A0A093CEX0	UP000053149	Pterocles gutturalis
A0A093CEY8	UP000053149	Pterocles gutturalis
A0A093CQX0	UP000053661	Tauraco erythrolophus
A0A093FE14	UP000054190	Tyto alba
A0A093FW37	UP000054190	Tyto alba
A0A093G154	UP000054313	Gavia stellata
A0A093GEC8	UP000053875	Dryobates pubescens
A0A093GMV7	UP000053875	Dryobates pubescens
A0A093H736	UP000053584	Struthio camelus
A0A093I3S2	UP000053584	Struthio camelus
A0A093IJB5	UP000054232	Eurypyga helias
A0A093JA04	UP000053806	Fulmarus glacialis
A0A093NFD8	UP000054081	Pygoscelis adeliae
A0A093NYR8	UP000054081	Pygoscelis adeliae
A0A093PRN0	UP000053258	Manacus vitellinus
A0A093QDY2	UP000053258	Manacus vitellinus
A0A093R256	UP000053238	Phalacrocorax carbo
A0A093R2N9	UP000053238	Phalacrocorax carbo
A0A093RE66	UP000053238	Phalacrocorax carbo
A0A093Y1K7	UP000029320	Pseudogymnoascus sp. VKM F-3557
A0A093Y3Z5	UP000029329	Pseudogymnoascus sp. VKM F-3808
A0A093YS79	UP000029299	Pseudogymnoascus sp. VKM F-4246
A0A093YXP5	UP000029338	Pseudogymnoascus sp. VKM F-3775
A0A093Z8R3	UP000029299	Pseudogymnoascus sp. VKM F-4246
A0A093ZBX1	UP000029299	Pseudogymnoascus sp. VKM F-4246
A0A093ZLM0	UP000029338	Pseudogymnoascus sp. VKM F-3775
A0A094A0U4	UP000029327	Pseudogymnoascus sp. VKM F-4281 (FW-2241)
A0A094A5H2	UP000029338	Pseudogymnoascus sp. VKM F-3775
A0A094A6E4	UP000029338	Pseudogymnoascus sp. VKM F-3775
A0A094AAG3	UP000029338	Pseudogymnoascus sp. VKM F-3775
A0A094ALY9	UP000029327	Pseudogymnoascus sp. VKM F-4281 (FW-2241)
A0A094ARP5	UP000029320	Pseudogymnoascus sp. VKM F-3557
A0A094ASG0	UP000029338	Pseudogymnoascus sp. VKM F-3775
A0A094AXN1	UP000029327	Pseudogymnoascus sp. VKM F-4281 (FW-2241)
A0A094B6S3	UP000029288	Pseudogymnoascus sp. VKM F-4513 (FW-928)
A0A094B8L2	UP000029327	Pseudogymnoascus sp. VKM F-4281 (FW-2241)
A0A094BEY7	UP000029288	Pseudogymnoascus sp. VKM F-4513 (FW-928)
A0A094BRW8	UP000029338	Pseudogymnoascus sp. VKM F-3775
A0A094C5H7	UP000029302	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
A0A094C5S6	UP000029302	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
A0A094CIH5	UP000029268	Pseudogymnoascus sp. VKM F-4516 (FW-969)
A0A094CQH9	UP000029302	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
A0A094DI42	UP000029288	Pseudogymnoascus sp. VKM F-4513 (FW-928)
A0A094DNQ2	UP000029302	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
A0A094F5P5	UP000029302	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
A0A094F830	UP000029284	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
A0A094FE21	UP000029302	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
A0A094FIQ4	UP000029284	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
A0A094FMN8	UP000029284	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
A0A094G1T7	UP000029268	Pseudogymnoascus sp. VKM F-4516 (FW-969)
A0A094G210	UP000029284	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
A0A094G8L2	UP000029284	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
A0A094GSM5	UP000029315	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
A0A094GZX4	UP000029315	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
A0A094H1D7	UP000029308	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
A0A094H3T3	UP000029308	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
A0A094H4J5	UP000029308	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
A0A094H6R8	UP000029308	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
A0A094ID14	UP000029284	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
A0A094IVB3	UP000029308	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
A0A094J6S4	UP000029315	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
A0A094JAI6	UP000029315	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
A0A094JBA4	UP000029315	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
A0A094KB04	UP000053620	Antrostomus carolinensis
A0A094KNZ4	UP000053854	Podiceps cristatus
A0A094KVX1	UP000053620	Antrostomus carolinensis
A0A094ZEX3	UP000471633	Schistosoma haematobium
A0A096MND7	UP000028761	Papio anubis
A0A096P1J2	UP000028761	Papio anubis
A0A098E091	UP000070720	Fusarium graminearum
A0A098SBM4	UP000029736	Phaeodactylibacter xiamenensis
A0A098VS40	UP000029725	Mitosporidium daphniae
A0A098VU05	UP000029725	Mitosporidium daphniae
A0A098Y3K8	UP000029713	Modestobacter caceresii
A0A098YAD9	UP000029713	Modestobacter caceresii
A0A099ZQM2	UP000053641	Tinamus guttatus
A0A099ZU00	UP000053641	Tinamus guttatus
A0A099ZUV0	UP000053641	Tinamus guttatus
A0A0A0A6E7	UP000053858	Charadrius vociferus
A0A0A0AZE1	UP000053858	Charadrius vociferus
A0A0A0B9F3	UP000029833	Cellulomonas cellasea
A0A0A0F2E9	UP000029998	Lysobacter daejeonensis
A0A0A0HTK8	UP000001628	Paracoccidioides brasiliensis
A0A0A0LRV2	UP000029981	Cucumis sativus
A0A0A0LUI1	UP000029981	Cucumis sativus
A0A0A0LV27	UP000029981	Cucumis sativus
A0A0A0LXD0	UP000029981	Cucumis sativus
A0A0A0MTD3	UP000005640	Homo sapiens
A0A0A1SZ60	UP000039046	Torrubiella hemipterigena
A0A0A1T2S7	UP000039046	Torrubiella hemipterigena
A0A0A1T3I6	UP000039046	Torrubiella hemipterigena
A0A0A1T7C1	UP000039046	Torrubiella hemipterigena
A0A0A1T9R6	UP000039046	Torrubiella hemipterigena
A0A0A1TL71	UP000039046	Torrubiella hemipterigena
A0A0A2J1X4	UP000030143	Penicillium expansum
A0A0A2JBW7	UP000030143	Penicillium expansum
A0A0A2JEJ9	UP000030143	Penicillium expansum
A0A0A2JPW5	UP000030143	Penicillium expansum
A0A0A2JVP7	UP000030143	Penicillium expansum
A0A0A2KL20	UP000030104	Penicillium italicum
A0A0A2KWA6	UP000030104	Penicillium italicum
A0A0A2LDC3	UP000030104	Penicillium italicum
A0A0A2VDR5	UP000030106	Beauveria bassiana
A0A0A2VJT0	UP000030106	Beauveria bassiana
A0A0A2VR17	UP000030106	Beauveria bassiana
A0A0A2VY68	UP000030106	Beauveria bassiana
A0A0A2VYA5	UP000030106	Beauveria bassiana
A0A0A2W0H5	UP000030106	Beauveria bassiana
A0A0A2WFQ9	UP000030518	Lysobacter dokdonensis
A0A0A2WKA0	UP000030518	Lysobacter dokdonensis
A0A0A2X4S5	UP000030518	Lysobacter dokdonensis
A0A0A6UDS1	UP000054537	Actinoplanes utahensis
A0A0A6UH53	UP000054537	Actinoplanes utahensis
A0A0A6UH99	UP000054537	Actinoplanes utahensis
A0A0A6UK08	UP000054537	Actinoplanes utahensis
A0A0A7CLT5	UP000243217	Thraustotheca clavata
A0A0A7CM13	UP000243217	Thraustotheca clavata
A0A0A7CM93	UP000243217	Thraustotheca clavata
A0A0A7CN07	UP000243579	Achlya hypogyna
A0A0A7CN79	UP000243579	Achlya hypogyna
A0A0A7CNE6	UP000243579	Achlya hypogyna
A0A0A7CNP6	UP000243579	Achlya hypogyna
A0A0A7CP65	UP000243579	Achlya hypogyna
A0A0B1P7B6	UP000030854	Erysiphe necator
A0A0B1PD39	UP000030854	Erysiphe necator
A0A0B1PHL8	UP000053709	Trichuris suis
A0A0B1PI26	UP000053709	Trichuris suis
A0A0B1RUA0	UP000053660	Oesophagostomum dentatum
A0A0B1S158	UP000053660	Oesophagostomum dentatum
A0A0B1S446	UP000053660	Oesophagostomum dentatum
A0A0B1ST85	UP000053660	Oesophagostomum dentatum
A0A0B1SX71	UP000053660	Oesophagostomum dentatum
A0A0B1SXC6	UP000053660	Oesophagostomum dentatum
A0A0B1T731	UP000053660	Oesophagostomum dentatum
A0A0B1T920	UP000053660	Oesophagostomum dentatum
A0A0B1TA76	UP000053660	Oesophagostomum dentatum
