Accession   Position
A0A024GPM3	55-258
A0A4Q7Z0G8	204-481
A0A4V1J5M0	58-236
A0A4W3I0J5	176-407
A0A4W3I0L0	174-405
A0A4W3I463	169-394
A0A4W3I5I7	171-398
A0A4W3I5L1	180-402
A0A4W3I5Q3	162-389
A0A4W3I5Q9	180-411
A0A4W3I8Z7	181-405
A0A4W3I926	173-400
A0A4W3I954	177-404
A0A4W3I973	177-404
A0A4W3ICV8	177-404
A0A4W3IEG1	183-410
A0A4W3IN19	183-414
A0A4W3INF1	175-406
A0A4W3INV9	175-406
A0A4W3INW1	180-407
A0A4W3IPU9	170-401
A0A4W3ISX3	170-401
A0A4W3ISZ4	170-401
A0A4W3IXA9	177-401
A0A4W3J2P3	189-420
A0A4W3J2R9	170-401
A0A4W3JJW4	165-396
A0A4W3JJY3	167-398
A0A4W3JK65	170-401
A0A512M2B1	41-278
A0A512MA76	1156-1365
A0A562SSC4	47-331
A0A5B8MIF6	4-184
A0A6P7S550	75-250
A0A6P7S5R8	115-291
A0A6P7S5V1	120-295
A0A6P7S7A7	117-291
A0A6P7S7Y8	120-295
A0A6P7SDC4	55-244
A0A6P7SDC4	476-668
A0A6P7SDC4	890-1080
A0A6P7SDC4	1307-1492
A0A6P7SDC4	1724-1916
A0A6P7SDC4	2141-2328
A0A6P7SDC4	2557-2737
A0A6P7SER3	36-225
A0A6P7SER3	457-649
A0A6P7SER3	871-1061
A0A6P7SER3	1288-1473
A0A6P7SER3	1705-1897
A0A6P7SER3	2122-2309
A0A6P7SER3	2538-2718
A0A6P7SER3	2958-3147
A0A6P7SER3	3379-3571
A0A6P7SER3	3793-3983
A0A6P7SER3	4210-4395
A0A6P7SER3	4627-4819
A0A6P7SER3	5044-5231
A0A6P7SER3	5460-5640
A0A6P7T4X6	176-407
A0A6P7TQ10	134-311
A0A7E6ENM2	111-285
A0A7E6EPH5	117-291
A0A7E6EPK6	115-291
A0A7E6ER30	117-291
A0A7E6FRZ6	60-249
A0A7E6FRZ6	481-673
A0A7E6FRZ6	895-1085
A0A7E6FRZ6	1313-1497
A0A7E6FRZ6	1730-1923
A0A7E6FRZ6	2149-2336
A0A7E6FRZ6	2568-2743
A0A7I3ZAZ7	110-320
A0A7I4A3E3	110-325
A0A7M5U0C1	318-522
A0A7M5V4K9	35-312
A0A7M5WXX0	156-434
A0A7M5XIS8	50-315
A0A7M6DMJ9	298-479
A0A7M6DMK7	321-502
A0A7M6DQE2	83-333
A0A7X6DTB4	33-204
A0A814MII4	386-616
A0A814TH65	8-216
A0A841H042	39-235
A0A841H669	224-519
A0A8C4RQH4	171-403
A0A8C4SH53	174-405
A0A8C4SST0	179-406
A0A8H6L0G3	118-308
A0A8H6L2R8	73-316
A0A8H7C4Z8	82-377
A0A8H7C551	48-298
A0A8H7F0X6	52-277
A0A8H7F114	48-294
A0A8H7F118	48-295
A0A8H7F178	162-418
A0A8J0VPY8	257-481
A0A8J1KWE0	166-390
A0A8J1L3K0	165-389
A0A8J1MAN5	175-406
A0A8J3MXC0	35-240
A0A8J9YXI2	177-432
A0A8J9Z708	173-401
A0A8J9Z8E2	177-404
A0A8J9ZE55	169-426
A0A8K0ADI4	171-429
A0A8K0E3G2	177-415
A0A8K0E7R0	180-410
A0A8K0E9J9	183-414
A0A8K0EZA9	177-430
A0A8K0F1T5	177-430
A0A8K1CFR2	59-262
A0A8K1FER6	60-263
A0A8K1FF30	66-267
A0A8K1FHN5	70-270
A0A8K1FJI0	64-265
A0A8M1PAD4	171-403
A0A8M9Q985	100-332
A0A8S3PQP2	157-324
A0A8S3PQQ5	138-307
A0A8S3PUT0	138-319
A0A8S3PWU5	39-204
A0A8S3QAJ7	705-877
A0A8S3QBU2	138-308
A0A8S3QCN4	139-315
A0A8S3QWT6	119-306
A0A8S3R655	146-319
A0A8S3R6D1	138-307
A0A8S3R6L7	130-309
A0A8S3R7K9	124-309
A0A8S3RAB7	150-326
A0A8S3RC90	123-308
A0A8S3RHI5	110-285
A0A8S3RKR7	110-285
A0A8S3RMZ0	145-329
A0A8S3RU87	124-300
A0A8S3RV89	111-287
A0A8S3RVH3	112-291
A0A8S3RVY5	123-300
A0A8S3RX09	135-305
A0A8S3RXY4	116-294
A0A8S3S1H2	105-282
A0A8S3S3A8	154-324
A0A8S3SDN1	139-309
A0A8S3SG45	640-825
A0A8S3SIB6	112-288
A0A8S3SLQ6	146-320
A0A8S3SWK0	157-324
A0A8S3T549	134-301
A0A8S3TBT4	146-319
A0A8S3THT1	146-315
A0A8S3TPH7	135-305
A0A8S3TRN7	114-293
A0A8S3UCA2	22-207
A0A8S3UET5	108-287
A0A8S3UR58	351-527
A0A8S3V8L1	143-313
A0A8S3VCQ0	149-319
A0A8S3YRC8	383-576
A0A8S3YRC8	800-990
A0A8S3YRC8	1217-1399
A0A8S3YRC8	1632-1824
A0A8S3YRC8	2048-2238
A0A8S3YRC8	2466-2644
A0A8S3YRC8	2871-3052
A0A8S3YUW4	219-409
A0A8S3YUW4	635-818
A0A8S3YUW4	1050-1242
A0A8S3ZE77	85-257
A0A8S3ZS08	277-459
A0A8S3ZS36	5-198
A0A8S3ZS48	39-228
A0A8S3ZS48	873-1063
A0A8S3ZS48	1290-1472
A0A8S3ZS48	1702-1894
A0A8S3ZS48	2106-2296
A0A8S3ZS48	2528-2706
A0A8S3ZS48	2933-3113
A0A8S3ZTJ4	139-315
A0A8S3ZVV6	38-228
A0A8S3ZW76	383-575
A0A8S3ZW76	803-985
A0A8S3ZW87	43-235
A0A8S3ZW87	460-649
A0A8S3ZX52	41-240
A0A8S3ZX52	472-651
A0A8S3ZXD1	140-333
A0A8S3ZXD1	557-747
A0A8S3ZXD1	973-1156
A0A8S3ZXD1	1388-1580
A0A8S3ZZP1	38-217
A0A8S4A1C0	170-361
A0A8V0XJ70	196-422
A0A8V0XYW8	179-410
A0A8V0YPG1	157-369
A0A8V0YUG7	147-379
A0A9P6R7U9	36-326
A0A9P8HZL9	83-363
A0A9P8I7W5	53-306
A0A9P8L2T7	96-292
A1L1Y0	177-404
A9SJQ8	104-317
A9SUP1	93-309
A9T5A8	92-317
B9HYL4	160-367
B9I1S3	145-353
C6VUT6	41-286
D0N318	77-279
D0N9N0	56-260
D0N9N3	55-258
D0ND78	66-266
D5DZK6	34-242
D7FJB5	49-362
E1ZA37	66-333
F1NXQ4	183-415
F1QEC9	176-408
F2UT45	654-819
F4NVT9	73-254
F4P2Z0	50-230
F4P543	67-250
F4P661	64-247
F4P662	249-424
F4P663	368-550
F4P7Q7	65-247
F4PBI8	66-255
F4PBL1	86-269
F4PFF7	68-251
F4PG32	38-213
F6R2I4	88-289
F6SPL0	170-401
F6UGD7	174-409
F6XL13	178-408
G1KB12	191-418
G1KL56	182-414
G1KQJ9	171-402
G1X3U2	59-338
G1X7Q1	97-343
G1XA94	89-302
G1XAG5	96-332
G1XGA7	143-378
G1XM84	91-307
G1XN18	105-358
G1XN59	112-325
G1XN75	120-419
G1XNN7	281-519
G1XPG4	394-637
G1XQQ0	37-322
G1XS72	172-437
G1XSL1	225-467
G1XT03	70-366
G1XTB4	203-441
I4YA87	71-305
I4YAA8	65-271
I4YCE2	67-276
I4YFA0	117-326
L0D705	29-256
M2WVJ3	172-391
O01497	136-320
O57405	183-415
O76708	149-338
O93505	183-409
P14679	172-402
P17643	184-416
P34269	140-328
P40126	180-408
P55024	171-402
Q19673	133-320
Q54QT0	96-368
Q54QT1	92-364
Q63JI5	49-334
Q6DGE4	174-406
Q7ZYE8	185-418
Q8KIL0	179-359
Q95XC6	134-316
Q9KYH2	30-239
Q9XUS8	187-375
R7THS2	98-340
R7UB97	202-385
R7VC10	166-410
R9PXQ3	179-410
T1F079	34-214
U5GXC6	159-369
W7TM70	197-372
A0A024FZ14	78-283
A0A024GR18	12-148
A0A067BLT8	59-266
A0A067BLZ4	339-506
A0A067BRT6	314-380
A0A067BRT6	436-481
A0A067BUS0	66-273
A0A067BZH5	59-266
A0A067C156	281-338
A0A067C156	408-447
A0A067C4V3	110-157
A0A067CT24	91-265
A0A067CZT6	74-279
A0A067D5R2	317-487
A0A0D1CHR5	496-694
A0A0D1E6L1	110-301
A0A0F9WDC2	44-102
A0A0F9WDC2	123-200
A0A0G4IJY2	132-206
A0A0G4IJY2	233-284
A0A0G4IK72	50-121
A0A0G4IK72	148-207
A0A0G4IQ91	178-239
A0A0G4IUF0	137-188
A0A0G4IUQ3	58-115
A0A0G4IUQ3	150-213
A0A0L0FIJ4	2-230
A0A0L0RXW5	83-252
A0A0L0SBE5	81-250
A0A0L0SEA4	6-130
A0A0L0SML6	98-169
A0A0L0SML6	204-266
A0A0L0TAE3	68-163
A0A0L0TAE3	193-237
A0A0L0TBD6	149-221
A0A0L0TBD6	253-317
A0A0U9HU61	134-209
A0A0U9HU61	217-335
A0A0V0R8Y7	70-249
A0A137NQ04	16-120
A0A137NW82	5-94
A0A137NZ11	3-33
A0A137P2W7	6-62
A0A137P4I0	1-53
A0A137P4Q5	48-126
A0A137P4T8	45-97
A0A137P785	25-136
A0A137PAH5	9-81
A0A137PAH5	119-176
A0A137PB18	59-120
A0A137PC54	24-114
A0A137PJ02	3-144
A0A143PGW5	22-78
A0A143PJ31	1-28
A0A176VEQ7	26-70
A0A176VFF9	4-54
A0A176W5U5	566-668
A0A176W8E6	223-438
A0A176W8N2	243-402
A0A176WFF6	83-197
A0A176WHV9	28-79
A0A176WHX1	228-296
A0A176WJ99	70-93
A0A176WJM8	1-189
A0A176WJM8	251-303
A0A177DYQ6	12-91
A0A1E7FM11	55-256
A0A1E7FTK4	124-183
A0A1E7FTK4	207-297
A0A1H1X1U7	71-171
A0A1H1X1U7	223-274
A0A1Q9CWE2	422-638
A0A1Q9CY91	545-819
A0A1Q9DXC9	137-328
A0A1Q9DZ23	195-307
A0A1Q9ENY0	691-907
A0A1Q9ENY0	1528-1744
A0A1Q9ENY0	2365-2581
A0A1Q9ENY0	3202-3418
A0A1S3JQE0	114-264
A0A1S3JR59	576-726
A0A1S3JRH7	576-726
A0A1X7SEW5	151-246
A0A1X7UHV7	2140-2301
A0A1X7VUQ0	1612-1777
A0A1Y1HLN7	140-201
A0A1Y1HLN7	229-341
A0A1Y1IBB9	173-234
A0A1Y1IBB9	245-373
A0A1Y1IJ30	139-206
A0A1Y1IJ30	220-317
A0A1Y1XVN2	4-45
A0A1Y1Y3L9	53-101
A0A1Y1YF00	58-111
A0A1Y1Z2B1	490-599
A0A1Y1Z5B8	63-216
A0A1Y1Z6J4	28-202
A0A2G5BD05	41-129
A0A2H3G244	704-781
A0A2H3GCF0	158-372
A0A2H3HRT2	19-121
A0A2H3HYJ4	111-366
A0A2K1KF87	35-117
A0A2K2CAL0	6-44
A0A2K2CAL2	74-229
A0A316YEU0	185-357
A0A316YS64	103-388
A0A3M6V3J4	97-257
A0A3N7FVW5	15-80
A0A498IVC1	589-649
A0A498JTL7	697-758
A0A498JUU5	23-136
A0A498JVN1	1-29
A0A498JZV7	9-87
A0A4W3IX93	171-278
A0A562UDK5	36-134
A0A562UDK5	187-237
A0A6P7S5P2	664-732
A0A6P7S5P2	789-826
A0A6P7S5P2	1501-1672
A0A6P7S851	128-203
A0A6P7S851	248-290
A0A7E6EGY5	33-98
A0A7E6EGY5	442-611
A0A7E6EME7	128-203
A0A7E6EME7	248-290
A0A7E6EN34	664-732
A0A7E6EN34	789-826
A0A7E6EN34	1501-1672
A0A7E6EN69	303-371
A0A7E6EN69	428-465
A0A7E6EN69	1140-1311
A0A7E6EP82	23-185
A0A7E6EP82	860-1031
A0A7E6EPM9	659-727
A0A7E6EPM9	784-821
A0A7E6EPM9	1496-1667
A0A7M5TY65	10-52
A0A7M5UEV7	39-162
A0A7M5V391	294-390
A0A7M5V4U7	60-311
A0A7M5WYG4	239-461
A0A7M5X1J4	47-109
A0A7M6DQ32	263-482
A0A7M7RDL5	619-784
A0A803TR56	15-97
A0A814YW27	97-170
A0A815XYA0	100-352
A0A835YKM2	189-249
A0A835YKM2	264-424
A0A835Z854	171-356
A0A835Z8Z2	216-402
A0A8B7YYH0	691-843
A0A8J5XMZ9	58-328
A0A8K0EF69	675-839
A0A8K0EH44	675-839
A0A8K0EJ61	675-839
A0A8K0F103	172-335
A0A8K0KU96	329-399
A0A8K1CQT5	60-261
A0A8K1FGS2	3-180
A0A8K1FHV1	63-262
A0A8K1FNX2	76-273
A0A8S3PR53	1-28
A0A8S3PVY6	139-232
A0A8S3PVY6	253-300
A0A8S3Q5H1	464-530
A0A8S3Q668	233-270
A0A8S3QA83	123-211
A0A8S3QAJ7	12-48
A0A8S3QB60	85-147
A0A8S3QC53	6-77
A0A8S3QCE6	75-245
A0A8S3QWK8	213-271
A0A8S3QX30	34-111
A0A8S3R0Y5	2-28
A0A8S3R459	351-448
A0A8S3RH67	2-41
A0A8S3RMS5	61-124
A0A8S3RPR7	1-28
A0A8S3RV95	82-158
A0A8S3RVL9	161-314
A0A8S3RYS0	116-210
A0A8S3RYS0	229-266
A0A8S3S002	104-199
A0A8S3S028	154-332
A0A8S3S066	59-129
A0A8S3S1J4	154-332
A0A8S3SP90	8-70
A0A8S3STA5	201-348
A0A8S3THE5	103-157
A0A8S3THQ2	213-271
A0A8S3THZ3	139-214
A0A8S3THZ3	252-307
A0A8S3TNC7	97-147
A0A8S3TP64	3-41
A0A8S3TTS7	160-249
A0A8S3TYI0	4-28
A0A8S3U769	13-158
A0A8S3UAS9	18-70
A0A8S3UBY5	15-167
A0A8S3UI17	110-196
A0A8S3UJV5	28-70
A0A8S3UL77	87-237
A0A8S3UMH0	2-30
A0A8S3UT28	78-130
A0A8S3UWG2	151-223
A0A8S3UWG2	274-324
A0A8S3VDM9	153-184
A0A8S3YPH2	23-88
A0A8S3YPL9	39-135
A0A8S3YRC8	3-129
A0A8S3ZS33	3-140
A0A8S3ZS48	500-650
A0A8S3ZW67	6-64
A0A8S3ZW76	2-140
A0A8S3ZW87	881-954
A0A8S3ZX52	878-948
A0A8S4A1B0	15-79
A0A8X6I0D3	36-199
A0A8X6I0D3	789-945
A0A8X6KWP2	358-521
A0A8X6L5F2	36-102
A0A9D2WSC4	112-171
A0A9P8HZ59	74-340
A0A9Q1H4M8	651-812
A9T0R4	66-136
D0N106	69-242
D0N9K5	242-445
D0N9M9	21-208
D0NAA1	75-255
D0NCQ4	5-60
D0NCQ4	118-158
D0NCR3	73-270
D0NCR4	101-280
D0ND79	40-119
D0ND81	66-232
D0P2C7	7-88
D7FNF0	13-52
D7FNR4	235-416
D7FP10	175-371
D7FSG1	324-507
D7FSG5	141-324
D7FSG6	169-356
D7FSM9	231-415
D7FSN5	146-332
D7FSP4	243-421
D7FVH6	285-465
D7FW00	241-433
D7G0J7	230-407
D7G0J8	228-405
D7G0J9	231-407
D7G0K0	84-260
D7G132	258-453
D7G1K2	142-328
D7G3A2	123-306
D7G530	145-339
D7G9A4	237-431
D8LAY9	249-453
D8LB18	72-260
D8LC28	275-462
D8LC42	299-492
D8LC43	311-505
D8LC46	312-506
D8LC48	252-452
D8LM86	184-377
E7EQI3	33-126
F2UDI5	763-851
F2UDI5	889-927
F2UDJ6	744-832
F2UDJ6	865-908
F2UGX9	737-825
F2UGX9	846-900
F2UK53	711-800
F2UK53	832-876
F2UT47	387-476
F2UT47	492-552
F4L4G6	96-184
F4L4G6	207-258
F4NWE6	67-238
F6QPY3	3-149
F6QQ72	1-169
F6THS9	1-169
F6WL94	183-397
H2Y0R3	1-69
H2Y187	1-28
J9DAB6	50-109
J9DAB6	129-210
K0RH99	10-39
