	0	1	2	3	4	5	6	7	8	9	10	11
A0A2B7YCJ2.1/98-323	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3MSWM@451870|Chaetothyriomycetidae					3MSWM@451870|Chaetothyriomycetidae
A0A8H3SGY7.1/123-354	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A5N5PRH5.1/105-338	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	21R0A@147550|Sordariomycetes						21R0A@147550|Sordariomycetes
A0A2J6S762.1/99-328	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3MSWM@451870|Chaetothyriomycetidae					3MSWM@451870|Chaetothyriomycetidae
A0A066XZ78.1/94-322	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3PD1A@4751|Fungi	3RJBZ@4890|Ascomycota	21QAX@147550|Sordariomycetes						21QAX@147550|Sordariomycetes
A0A8H3NML7.1/123-354	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A2J6STN7.1/37-267	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	21R0A@147550|Sordariomycetes						21R0A@147550|Sordariomycetes
A0A1V6YX06.1/119-351	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A1V6TP23.1/119-351	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A319ATK4.1/115-347	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A370PN07.1/115-347	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A401L4E0.1/115-347	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A254TX54.1/115-347	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A370BQI5.1/115-347	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A2Q9V3.1/115-347	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
G3XTJ4.1/115-347	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A5N6ZCZ1.1/97-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
E9DG81.1/120-352	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3B598@33183|Onygenales	3FNHJ@34383|Onygenales incertae sedis				3FNHJ@34383|Onygenales incertae sedis
A0A0J7AYB6.1/120-352	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3B598@33183|Onygenales	3FNHJ@34383|Onygenales incertae sedis				3FNHJ@34383|Onygenales incertae sedis
J3KA29.2/120-352	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3B598@33183|Onygenales	3FNHJ@34383|Onygenales incertae sedis				3FNHJ@34383|Onygenales incertae sedis
A0A167VR44.1/119-351	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
B6HUM2.1/119-351	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A401L2M0.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A1L9USF3.1/113-345	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A1L7XGA1.1/101-331	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	210M0@147548|Leotiomycetes						210M0@147548|Leotiomycetes
A0A2I2G3M9.1/99-323	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A370BVX2.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A2QFP6.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A3F3RR12.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A1M3TTS7.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A146EXW0.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A8G1QUI1.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
G7Y0H6.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A319BBT7.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A318YDG0.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A100I6A4.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A1L9N5U9.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A8H3XWU4.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A0D2C2B9.1/120-351	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3MSWM@451870|Chaetothyriomycetidae					3MSWM@451870|Chaetothyriomycetidae
A0A319D5D6.1/97-325	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
A0A4S2MMJ0.1/118-346	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A0G4NX83.1/119-351	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
Q0CYP3.1/93-321	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	20T3V@147545|Eurotiomycetes	3SFEQ@5042|Eurotiales					3SFEQ@5042|Eurotiales
