DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	species
COLOR	#ff0000
DATA
CDM37049.1	#90caab	Penicillium roqueforti
XP_046671686.1	#9520fb	Homalodisca vitripennis
CAG7818443.1	#9e1760	Allacma fusca
KAI1171690.1	#39792b	Nemania sp. FL0916
KAH9080397.1	#b841d7	Lactarius deliciosus
KAI0005742.1	#8acfac	Xylariaceae sp. FL0662B
XP_043001961.1	#96c5f0	Marasmius oreades
KAH8798668.1	#46f415	Xylogone sp. PMI_703
KAF7699742.1	#539282	Silurus meridionalis
XP_031000061.1	#2b5c21	Thyridium curvatum
KOX79496.1	#87e1c4	Melipona quadrifasciata
XP_001209390.1	#4cbd59	Aspergillus terreus
PYH90900.1	#2caefa	Aspergillus ellipticus
PWW71625.1	#d8be29	Tuber magnatum
RKP27360.1	#289d2e	Syncephalis pseudoplumigaleata
MCJ1316301.1	#0c183e	Xylographa vitiligo
KAH8898678.1	#7e34fd	Thozetella sp. PMI_491
XP_008084857.1	#df2e21	Glarea lozoyensis
XP_041982125.1	#05dbfc	Aricia agestis
AUO15588.1	#3a37d1	Tetrix subulata
RKP25947.1	#289d2e	Syncephalis pseudoplumigaleata
XP_021286222.1	#1260f7	Herrania umbratica
PVH84634.1	#6e3a04	Cadophora sp. DSE1049
KAI0393935.1	#59bd51	Xylariaceae sp. FL0594
XP_047470522.1	#40a5e5	Penaeus chinensis
KAG8474171.1	#17e1ae	Gossypium anomalum
WP_031128126.1	#3d473e	nan
CCX16160.1	#efc2a8	Pyronema omphalodes
KAF2187121.1	#a40528	Zopfia rhizophila
XP_006459626.1	#73a770	Agaricus bisporus
XP_027920765.1	#bfe36c	Vigna unguiculata
KLU88161.1	#6c02ef	Magnaporthiopsis poae
KAF2743855.1	#44da67	Sporormia fimetaria
XP_037125763.1	#c5adaa	Syngnathus acus
RPA85983.1	#b9a0dc	Ascobolus immersus
KAI5076538.1	#9dee7b	Adiantum capillus-veneris
ORX81815.1	#e9d827	Basidiobolus meristosporus
PHT39541.1	#be71a8	Capsicum baccatum
XP_037037633.1	#d35521	Bradysia coprophila
KAF2843303.1	#2bbc2c	Patellaria atrata
KAG5687440.1	#d5093e	Batillaria attramentaria
RPA88543.1	#16550f	Choiromyces venosus
CAG9981060.1	#a5ba12	Clonostachys byssicola
CCA94913.1	#5e86cb	Endeis spinosa
KAF2001443.1	#3c4149	Amniculicola lignicola
KAF3937147.1	#db3f94	Dactylella cylindrospora
KAF7926538.1	#9baf42	Botrytis elliptica
CAG8981009.1	#f9b11a	Hymenoscyphus albidus
XP_049112652.1	#63a9eb	Hypoxylon fragiforme
XP_008077894.1	#df2e21	Glarea lozoyensis
XP_001905582.1	#b13833	Podospora anserina
ELK07003.1	#913eb9	Pteropus alecto
KAI5778031.1	#7f7d6a	Geopyxis carbonaria
KAG5290008.1	#b987f1	Histoplasma ohiense (nom. inval.)
KAG6006830.1	#ad7309	Claviceps maximensis
XP_037814271.1	#822a73	Lucilia sericata
XP_038843943.1	#88f6ec	Salvelinus namaycush
KAA8563979.1	#f544a2	Monilinia fructicola
XP_005849299.1	#b7ed62	Chlorella variabilis
XP_043151905.1	#ddcfae	Aspergillus udagawae
XP_045195006.1	#12b847	Mercenaria mercenaria
XP_034241167.1	#0ddd02	Thrips palmi
XP_027237553.1	#98715c	Penaeus vannamei
XP_047226224.1	#101585	Girardinichthys multiradiatus
KAG5689351.1	#d5093e	Batillaria attramentaria
MCA1594195.1	#6d3998	Acidobacteria bacterium
KAG6554187.1	#54b3f0	Marchantia paleacea
MCJ1339684.1	#3d473e	nan
XP_049153231.1	#c29828	Colletotrichum lupini
KAG8695402.1	#039eea	Ceratobasidium sp. 395
PVH95135.1	#dea7f6	Periconia macrospinosa
XP_010100567.1	#0048c1	Morus notabilis
CAH7686077.1	#e7cc95	Phakopsora pachyrhizi
KAG2601282.1	#5e9fd0	Panicum virgatum
RXS86976.1	#b4dcd5	Streptomyces sp. TM32
XP_011495593.1	#a6607d	Ceratosolen solmsi
KAH0426437.1	#e80367	Colletotrichum camelliae
RKP09208.1	#0cfead	Thamnocephalis sphaerospora
KAG8945788.1	#d8fca2	Tulasnella sp. 419
KAF8243730.1	#6b6fd0	Wilcoxina mikolae
CAD7448308.1	#81c182	Timema bartmani
XP_008446626.1	#0e2080	Cucumis melo
KAI3459693.1	#2bf880	Paulownia fortunei
RDW80146.1	#d534b4	Coleophoma cylindrospora
KAF2875973.1	#5b398e	Massariosphaeria phaeospora
KAF3400006.1	#bcb632	Penicillium rolfsii
CAD68058.1	#4b9f1d	Ciona intestinalis
AUO15572.1	#3a37d1	Tetrix subulata
XP_046746454.1	#fcf0fa	Diprion similis
CCD53405.1	#7a861e	Botrytis cinerea
THX61658.1	#29b72f	Aureobasidium pullulans
POS77600.1	#357e17	Diaporthe helianthi
XP_042029584.1	#b27298	Salvia splendens
ACJ04909.1	#402e93	synthetic construct
XP_023929017.1	#fa0fb5	Quercus suber
KAB5566591.1	#3eac4f	Coniochaeta sp. 2T2.1
XP_015778910.1	#36dbb1	Acropora digitifera
KAH7068082.1	#21c33a	Paraphoma chrysanthemicola
WP_158733012.1	#ca3549	Lysobacter prati
ROT63388.1	#98715c	Penaeus vannamei
RPA82145.1	#b9a0dc	Ascobolus immersus
XP_045269454.1	#ac8821	Colletotrichum gloeosporioides
KAI5803525.1	#418292	Peziza echinospora
KAF3327634.1	#6f833b	Carex littledalei
KAI1729973.1	#0e5a10	Ditylenchus destructor
KAF3336412.1	#6f833b	Carex littledalei
XP_019858840.1	#4ea720	Amphimedon queenslandica
KAH8880978.1	#7e34fd	Thozetella sp. PMI_491
KAF8271967.1	#a73511	Lactarius quietus
KAH7558868.1	#e6ad84	Bipolaris maydis
VBB73800.1	#abc4d9	Podospora comata
NQV78008.1	#5236ab	Lutibacter sp.
CCF55382.1	#b924dd	Atyopsis moluccensis
WP_125605966.1	#acb2e7	Streptomyces sp. WAC07061
XP_022852555.1	#0271ee	Olea europaea
XP_029730432.1	#b09529	Aedes albopictus
WP_251910972.1	#3d473e	nan
KAF8495781.1	#d6a562	Russula emetica
RDX53528.1	#765477	Polyporus brumalis
KAI3465964.1	#2bf880	Paulownia fortunei
KAH8890291.1	#7e34fd	Thozetella sp. PMI_491
RKU46636.1	#b3e639	Coniochaeta pulveracea
XP_042881566.1	#dc235e	Penaeus japonicus
KAF8775055.1	#49e6f5	Digitaria exilis
CAD0055797.1	#29b72f	Aureobasidium pullulans
RKP20340.1	#b39d02	Rozella allomycis
KAH8173630.1	#c3af27	Sarocladium implicatum
KDQ13278.1	#8e9017	Botryobasidium botryosum
TFK68911.1	#2ac827	Pluteus cervinus
KXJ73032.1	#b09529	Aedes albopictus
XP_015404592.1	#6d67d7	Aspergillus nomiae
CAD7257557.1	#7d37e6	Timema shepardi
TYH85486.1	#a45e60	Gossypium tomentosum
WP_168076014.1	#525aea	Planosporangium flavigriseum
PVH93604.1	#dea7f6	Periconia macrospinosa
MCG8403871.1	#1837ed	Phycisphaerales bacterium
MBP7555387.1	#50f259	Chitinophagaceae bacterium
KAF8662496.1	#49e6f5	Digitaria exilis
KAI1328026.1	#b78efe	Xylariaceae sp. FL0255
XP_028398038.1	#c7c10e	Dendronephthya gigantea
CAE6388132.1	#5191aa	Rhizoctonia solani
OXU22254.1	#cc2203	Trichomalopsis sarcophagae
KAF2659347.1	#0c9a6a	Lophiostoma macrostomum
ORY07352.1	#e9d827	Basidiobolus meristosporus
RPB05865.1	#16550f	Choiromyces venosus
VUC35833.1	#8e4345	Clonostachys rosea
XP_003351009.1	#11f798	Sordaria macrospora
XP_043011973.1	#96c5f0	Marasmius oreades
XP_014229579.1	#132b10	Trichogramma pretiosum
KJZ75720.1	#f8ba17	Hirsutella minnesotensis
XP_043262180.1	#c4ba93	Colletes gigas
XP_038068635.1	#faad64	Patiria miniata
KAG5889581.1	#0c0546	Gonioctena quinquepunctata
CZR56799.1	#3c7216	Phialocephala subalpina
CAG8936476.1	#f12622	Penicillium salamii
KAF1942408.1	#6962e2	Clathrospora elynae
WP_087763898.1	#27cecf	Streptomyces sp. CS057
XP_040865836.1	#b9e0fe	Glycine max
KAF3052247.1	#f90dc4	Didymella keratinophila
PPQ83615.1	#e56702	Psilocybe cyanescens
KAF5309933.1	#a34162	Psilocybe cf. subviscida
XP_008028825.1	#8124ec	Exserohilum turcicum
KAH0811667.1	#56ff8e	Tenebrio molitor
XP_008470881.2	#ccc642	Diaphorina citri
KAH6711904.1	#8607cf	Leptodontidium sp. MPI-SDFR-AT-0119
XP_013199418.1	#4c96fa	Amyelois transitella
KAI0602121.1	#c3977b	Biscogniauxia sp. FL1348
QXT58054.1	#da20c6	Solanum tuberosum
OQD79619.1	#edcc1e	Penicillium antarcticum
AUO15571.1	#4a1723	Prosarthria teretrirostris
XP_033649623.1	#65a0c9	Westerdykella ornata
USP79155.1	#8addde	Curvularia clavata
KAF3318443.1	#4babbf	Orbilia oligospora
AGV77161.1	#8ab5e3	Drosophila melanogaster
XP_021947776.1	#abc98f	Folsomia candida
KAI0056310.1	#c415cf	Artomyces pyxidatus
CCD61125.1	#93176d	Taraxacum officinale
WP_108075954.1	#d5a895	Vitiosangium sp. GDMCC 1.1324
KAH3722105.1	#4a03f2	Dreissena polymorpha
KAF7771814.1	#73a770	Agaricus bisporus
KAI1810793.1	#04bf85	Poronia punctata
XP_024217321.1	#095ae9	Halyomorpha halys
KAG9512844.1	#e7deb1	Aureobasidium melanogenum
KAF7856954.1	#8cc426	Sclerotium cepivorum
KAI3702733.1	#798767	Arctium lappa
KAF4815354.1	#c715b6	Colletotrichum siamense
KAI4454576.1	#3fb2b6	Holotrichia oblita
PQE15476.1	#673730	Rutstroemia sp. NJR-2017a WRK4
KAH6686711.1	#32bc8a	Plectosphaerella plurivora
ADU18540.1	#6b153f	Togoperla sp. VA-2010
XP_033755084.1	#e8aefe	Pecten maximus
KIN00794.1	#f813fd	Oidiodendron maius
XP_025490738.1	#d7e072	Aspergillus uvarum
XP_024397287.1	#df6f2a	Physcomitrium patens
XP_003401778.1	#d30397	Bombus terrestris
KAF2030512.1	#8766e1	Setomelanomma holmii
XP_024341425.1	#61b752	Postia placenta
ALF12285.1	#22c709	Morus alba
WP_250980596.1	#3d473e	nan
KIM19799.1	#507c4e	Serendipita vermifera
XP_019181147.1	#22ff1b	Ipomoea nil
KAE9379884.1	#a418d1	Chalara longipes
TDZ67419.1	#48673c	Colletotrichum trifolii
PON64212.1	#e1be93	Trema orientale
KAF4082057.1	#21b2e6	Ameiurus melas
EGU83168.1	#7b5e77	Fusarium oxysporum
XP_022344830.1	#2b314d	Crassostrea virginica
KAI0822060.1	#8a0d72	Trametes gibbosa
KAG8130556.1	#57d26c	Naja naja
KAH6949079.1	#ddbd25	Fusarium avenaceum
XP_038747759.1	#be343f	Colletotrichum karsti
ADD70249.1	#418390	Panulirus longipes
XP_004931806.2	#a4bb39	Bombyx mori
GFS43492.1	#f5324c	Trichonephila inaurata
XP_031849061.1	#7f2040	Nomia melanderi
CAG7849836.1	#685b00	Serendipita indica
RDW85203.1	#d534b4	Coleophoma cylindrospora
CZR50895.1	#3c7216	Phialocephala subalpina
RDW75127.1	#d534b4	Coleophoma cylindrospora
KAE9964858.1	#4a537f	Venturia inaequalis
KAH9307697.1	#cbced2	Taxus chinensis
KAF8645995.1	#0a3351	Volvariella volvacea
HEA22429.1	#f2e807	Pricia antarctica
EME46462.1	#2c65bd	Dothistroma septosporum
XP_048381887.1	#1344db	Stegostoma fasciatum
KAF4899279.1	#dba12c	Colletotrichum fructicola
SJL02349.1	#c4e1d2	Armillaria ostoyae
RKP26894.1	#289d2e	Syncephalis pseudoplumigaleata
CAD6229670.1	#78ba37	Miscanthus lutarioriparius
XP_023925596.1	#fa0fb5	Quercus suber
KAH8817729.1	#ef2990	Flagelloscypha sp. PMI_526
RWS14872.1	#5bd227	Dinothrombium tinctorium
XP_008081464.1	#df2e21	Glarea lozoyensis
EOY04734.1	#e4af5a	Theobroma cacao
XP_012757037.1	#4c5b63	Acytostelium subglobosum
CAD7568053.1	#8880ff	Timema californicum
KAF9893896.1	#eea23d	Aspergillus nanangensis
KAG6828515.1	#de89ad	Tricholoma furcatifolium
VDL79972.1	#552702	Nippostrongylus brasiliensis
RVE54713.1	#ef41a5	Chilo suppressalis
KAF8192616.1	#55fa85	Pholiota molesta
CAG9111408.1	#4d354d	Plutella xylostella
KAI3458385.1	#2bf880	Paulownia fortunei
CCX33655.1	#efc2a8	Pyronema omphalodes
XP_011076536.1	#0fe155	Sesamum indicum
XP_045194325.1	#12b847	Mercenaria mercenaria
KAF4354291.1	#5505d4	Cannabis sativa
XP_021760592.1	#2c0cdd	Chenopodium quinoa
XP_046006902.1	#40e548	Microdochium trichocladiopsis
WP_184608103.1	#df093f	Sphaerisporangium krabiense
NPT47998.1	#edc027	Paraburkholderia solitsugae
WP_190695282.1	#3d473e	nan
KAF4635965.1	#3b19ed	Cudoniella acicularis
XP_040711727.1	#e2e6ca	Pseudomassariella vexata
XP_007836607.1	#105cda	Pestalotiopsis fici
KAF5618744.1	#0fca34	Fusarium sp. NRRL 52700
NUT33518.1	#13773f	Hamadaea sp.
KAH9240595.1	#ac8821	Colletotrichum gloeosporioides
Q9FRX6.1	#19da01	Antirrhinum majus
KAF4840646.1	#c715b6	Colletotrichum siamense
KAH9495707.1	#c07b6a	Bulinus truncatus
RVX08548.1	#797b0a	Vitis vinifera
XP_007297051.1	#c87a00	Drepanopeziza brunnea
PBK84708.1	#bf9695	Armillaria gallica
TIC91226.1	#0c6c23	Colletotrichum higginsianum
KXN73691.1	#2fd49b	Conidiobolus coronatus
KZC07219.1	#9203ab	Dufourea novaeangliae
CAG1831021.1	#bbfece	Musa acuminata
XP_033755033.1	#e8aefe	Pecten maximus
RPA73998.1	#b9a0dc	Ascobolus immersus
XP_020129405.1	#b8f880	Diplodia corticola
KAE8193332.1	#0bfb00	Tilletia laevis
KAF3927764.1	#dcc89b	Drechslerella brochopaga
XP_045971090.1	#719baa	Morchella importuna
OXA54655.1	#abc98f	Folsomia candida
KAH6699998.1	#8607cf	Leptodontidium sp. MPI-SDFR-AT-0119
KAF9507192.1	#9197b7	Hydnum rufescens
XP_029634295.1	#8e865d	Octopus sinensis
KZL80091.1	#3911ae	Colletotrichum incanum
ORY05210.1	#e9d827	Basidiobolus meristosporus
KAF2868002.1	#5b398e	Massariosphaeria phaeospora
PYI12264.1	#dec1d4	Aspergillus sclerotiicarbonarius
KAH7662063.1	#bb2d66	Dioscorea alata
SCK25836.1	#8ea1cc	Streptomyces sp. SceaMP-e96
RIB30209.1	#08d538	Gigaspora rosea
KAG9443229.1	#076070	Aristolochia fimbriata
OAL68708.1	#0e4555	Trichophyton violaceum
XP_041378714.1	#4f5ccd	Gigantopelta aegis
XP_048450180.1	#80cf02	Rhincodon typus
KAG4440203.1	#704971	Cadophora sp. M221
PPR06689.1	#653d2b	Gymnopilus dilepis
KAI3903167.1	#72e3a3	Papaver atlanticum
MCJ1332496.1	#34cca2	Thelotrema lepadinum
KAI3925781.1	#5c6786	Papaver californicum
OCB87724.1	#08c3b6	Sanghuangporus baumii
XP_047740810.1	#310e44	Hyalella azteca
KAH7045363.1	#960386	Macrophomina phaseolina
KAI0725255.1	#b5897c	Fomitopsis betulina
RXH99245.1	#accfe6	Malus domestica
XP_041026022.1	#014f55	Juglans microcarpa x Juglans regia
XP_007916924.1	#288420	Phaeoacremonium minimum
KAG6392114.1	#b27298	Salvia splendens
KAG9080677.1	#e21093	Ceratobasidium sp. 370
KAF2968770.1	#097ed5	Xylaria multiplex
MBV9229998.1	#c4686a	Chloroflexi bacterium
TRY81364.1	#6b3160	Danionella translucida
CAA3000655.1	#0271ee	Olea europaea
AWK28011.1	#01b714	Pleurobrachia bachei
XP_003665594.1	#142fa1	Thermothelomyces thermophilus
WP_198414979.1	#15d71c	Albitalea terrae
XP_046006962.1	#40e548	Microdochium trichocladiopsis
KFZ04663.1	#c61cda	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
CUS19247.1	#2bf0d2	Argulus foliaceus
XP_024688703.1	#652f9d	Aspergillus campestris
XP_036582607.1	#7dd1bb	Colletotrichum truncatum
XP_016258085.1	#a1cbc9	Exophiala oligosperma
WP_231987989.1	#520885	Pseudomonas granadensis
XP_020616587.1	#be8ba7	Orbicella faveolata
KAH9980152.1	#ee690a	Lactarius volemus
OTA52939.1	#235130	Hypoxylon sp. EC38
EUC55883.1	#5191aa	Rhizoctonia solani
CAG7680443.1	#9e1760	Allacma fusca
XP_010100566.1	#0048c1	Morus notabilis
QDS76025.1	#055b76	Venturia effusa
XP_023704227.1	#557c77	Cryptotermes secundus
KAA0195904.1	#310e44	Hyalella azteca
KAF9458302.1	#15fa84	Lepista nuda
VDI54710.1	#380da1	Mytilus galloprovincialis
VDM60451.1	#1327d3	Angiostrongylus costaricensis
OBZ65578.1	#72866a	Grifola frondosa
P56825.1	#299f5b	Sepia officinalis
XP_012178752.1	#ea1364	Fibroporia radiculosa
KAG6460219.1	#82504b	Manduca sexta
KAE8751875.1	#c668a4	Frankliniella occidentalis
ROT61245.1	#98715c	Penaeus vannamei
WP_221517319.1	#368ef8	Streptomyces sp. AK010
KAF8055434.1	#993194	Lyophyllum atratum
KAF2690320.1	#f17375	Lentithecium fluviatile
CAD0083012.1	#a79900	Aureobasidium vineae
KAI1615790.1	#80c57b	Exophiala sp. JF 03-4F
XP_039293955.1	#429572	Nilaparvata lugens
KAB5560233.1	#3eac4f	Coniochaeta sp. 2T2.1
XP_045948074.1	#36849d	Aspergillus melleus
KAH2663186.1	#2f92e6	Aspergillus fumigatus
KAF9635475.1	#5edce0	Lasiodiplodia theobromae
CAG8976979.1	#f9b11a	Hymenoscyphus albidus
KAI0297681.1	#21528d	Russula brevipes
TVU16427.1	#6eb074	Eragrostis curvula
RPA85134.1	#b9a0dc	Ascobolus immersus
KAG9239982.1	#19f28c	Calycina marina
KJK91793.1	#f555c5	Metarhizium anisopliae
KAF6208522.1	#0081ba	Apolygus lucorum
ABQ28710.1	#174c8b	Leuctra fusca
KAF5204729.1	#b14ab3	Thalictrum thalictroides
KAH9507514.1	#c07b6a	Bulinus truncatus
KAF2972959.1	#097ed5	Xylaria multiplex
KAF2875899.1	#5b398e	Massariosphaeria phaeospora
KAF5175610.1	#b14ab3	Thalictrum thalictroides
KAI1260259.1	#2d2d79	Xylariaceae sp. FL1019
KAH9907265.1	#cf34b9	Xylariomycetidae sp. FL2044
KNA18659.1	#1b0a2d	Spinacia oleracea
PVH72863.1	#6e3a04	Cadophora sp. DSE1049
XP_024964800.1	#0c9315	Cynara cardunculus
KAE9366306.1	#a418d1	Chalara longipes
XP_020551680.1	#0fe155	Sesamum indicum
CAF9905455.1	#801840	Gomphillus americanus
XP_039198885.1	#f5fd12	Crotalus tigris
KAI1339650.1	#0a2b88	Xylariaceae sp. FL0016
KAF7338726.1	#40cbd6	Mycena sanguinolenta
KAH8176655.1	#c3af27	Sarocladium implicatum
KIM27071.1	#507c4e	Serendipita vermifera
EMR70876.1	#3eb40e	Eutypa lata
RWA04044.1	#93e4df	Xylaria grammica
RWR84493.1	#2eee1a	Cinnamomum micranthum
KXH53984.1	#03f3a4	Colletotrichum salicis
RIB12211.1	#08d538	Gigaspora rosea
TDZ39149.1	#48673c	Colletotrichum trifolii
KAH9873988.1	#72de02	Leptosphaeria maculans
WP_233827340.1	#ffe84e	Saccharothrix sp. S26
KXN69353.1	#2fd49b	Conidiobolus coronatus
KAI3753606.1	#293d47	Cichorium intybus
KAH8892226.1	#7e34fd	Thozetella sp. PMI_491
MBI1323197.1	#bc95c8	bacterium
KAF4161785.1	#11ea56	Aspergillus lentulus
XP_040683365.1	#d06d3f	Aspergillus wentii
KAB5542858.1	#3eac4f	Coniochaeta sp. 2T2.1
WP_020735165.1	#dfaa58	Sorangium cellulosum
WP_256576798.1	#3d473e	nan
MCO5562891.1	#bcd5f7	Adiantum nelumboides
XP_035679172.1	#46731e	Branchiostoma floridae
CAG9975290.1	#a5ba12	Clonostachys byssicola
KAG6995595.1	#de8d21	Physcia stellaris
XP_035703144.1	#abc98f	Folsomia candida
KAH9885553.1	#cf34b9	Xylariomycetidae sp. FL2044
WP_154450604.1	#3297f0	Methylocystis rosea
KAH7384191.1	#2be37e	Phaeosphaeria sp. MPI-PUGE-AT-0046c
CAG9559301.1	#ff5f4e	Danaus chrysippus
RAL65136.1	#ce3333	Monilinia fructigena
KAI0006752.1	#8acfac	Xylariaceae sp. FL0662B
KAH8725083.1	#43f0bb	Phaeosphaeriaceae sp. PMI808
GIY21486.1	#f9684d	Caerostris extrusa
KFA61507.1	#7a546d	Stachybotrys chlorohalonata
AJQ31846.1	#d2293b	Xya japonica
XP_018030235.1	#e2f238	Paraphaeosphaeria sporulosa
XP_047535737.1	#a228a8	Vanessa atalanta
KAF2196073.1	#50e688	Delitschia confertaspora
WP_121258546.1	#144a3f	Solirubrobacter pauli
XP_037904992.1	#56b13c	Hermetia illucens
WP_028929445.1	#e856cd	Pseudonocardia asaccharolytica
XP_019159371.1	#22ff1b	Ipomoea nil
KAF9778931.1	#7d8872	Thelephora terrestris
KAI6276948.1	#93a137	Pyricularia oryzae
EWC46374.1	#1c0d5a	Drechslerella stenobrocha
CZT11925.1	#640eee	Rhynchosporium agropyri
KAH6717801.1	#8607cf	Leptodontidium sp. MPI-SDFR-AT-0119
KAI0149162.1	#061ff2	Pestalotiopsis sp. NC0098
KAH9438325.1	#93a137	Pyricularia oryzae
EPS37102.1	#ae7320	Dactylellina haptotyla
XP_016984437.1	#a86122	Drosophila rhopaloa
XP_009224786.1	#d8e6f5	Gaeumannomyces tritici
KAF7759224.1	#56cb3e	Entomophthora muscae
KAF8453330.1	#c3b567	Terfezia claveryi
KAI1332965.1	#b78efe	Xylariaceae sp. FL0255
EYB90640.1	#db9b1f	Ancylostoma ceylanicum
GFC77522.1	#89ed12	Tanacetum cinerariifolium
XP_012214584.1	#b8de64	Linepithema humile
XP_040718631.1	#e2e6ca	Pseudomassariella vexata
EHA20926.1	#86fb33	Aspergillus niger
PIG82894.1	#b38e47	Aspergillus arachidicola
OSX80882.1	#b9b4c7	Porphyra umbilicalis
KAI3656951.1	#23d513	Amoeboaphelidium occidentale
TMD58891.1	#c4686a	Chloroflexi bacterium
KOC58832.1	#577578	Habropoda laboriosa
ORY30694.1	#0dc9c7	Rhizoclosmatium globosum
XP_007920237.1	#47572a	Pseudocercospora fijiensis
PHT58543.1	#be71a8	Capsicum baccatum
OSD06784.1	#5e7c35	Trametes coccinea
CEJ56604.1	#d3d87a	Penicillium brasilianum
KXJ09096.1	#4dc450	Exaiptasia diaphana
KAF7535990.1	#2b5766	Neopestalotiopsis clavispora
KAF7771678.1	#73a770	Agaricus bisporus
PHT58706.1	#be71a8	Capsicum baccatum
KAI0389184.1	#59bd51	Xylariaceae sp. FL0594
KAI3862037.1	#9c4842	Papaver bracteatum
KAI4454575.1	#3fb2b6	Holotrichia oblita
XP_018032376.1	#e2f238	Paraphaeosphaeria sporulosa
VDI14092.1	#380da1	Mytilus galloprovincialis
KAF8411178.1	#1ff008	Tetracentron sinense
PPQ67965.1	#8a093c	Panaeolus cyanescens
KAF2270326.1	#89c44c	Didymosphaeria enalia
XP_030994077.1	#2b5c21	Thyridium curvatum
KAI6357363.1	#f8add9	Pyricularia grisea
KAH0642695.1	#da20c6	Solanum tuberosum
P81732.1	#4e5d88	Megathura crenulata
XP_001798794.1	#2bac35	Parastagonospora nodorum
