DATASET_DOMAINS
SEPARATOR COMMA
DATASET_LABEL,Domains
A0A084G098,691,HH|88|272|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|414|614|#919efa|PF00230_Major intrinsic protein
A0A084G330,392
A0A084G3K0,339
A0A084G593,393
A0A084G5H0,388
A0A084G6B5,407
A0A084G7S9,325,HH|99|232|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A084G7V9,355
A0A084G9G0,397
A0A084GAD1,1882
A0A084GCK1,395
A0A084GDW0,476
A0A084GGH5,661
A0A084GGL7,570
A0A084QC22,556
A0A084QCB8,338
A0A084QJ67,637
A0A084QQ18,384
A0A084QWG9,325
A0A084QX23,390
A0A084QY85,320
A0A084QZJ0,852
A0A084R0Y5,347
A0A084R149,353
A0A084R1I5,382
A0A084R6D3,556
A0A084R8W6,375
A0A084RDX3,384
A0A084RHQ9,404
A0A084RL65,382
A0A084RMW2,911,HH|665|854|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A084RN94,637
A0A084RQU9,325
A0A084RUU8,573
A0A084RWS5,353
A0A084RY50,338
A0A084RYT7,390
A0A086J2K3,314
A0A086SV08,392
A0A086T0Z5,530,HH|76|321|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A090CH20,384
A0A090CL68,413
A0A090CMR9,342
A0A090CWC0,570
A0A090D4S5,350
A0A090MKY8,727
A0A090N5Z6,330
A0A093V1Z2,581,HH|235|265|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|84|221|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|407|545|#f2b365|PF18132_Tyosinase C-terminal domain
A0A093V313,577
A0A093V4K7,411
A0A093VIP7,332
A0A093XBB1,402
A0A093XMU4,635
A0A093Y1K7,393
A0A093Y3Z5,393
A0A093YS79,397
A0A093YXP5,405,HH|140|328|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A093Z8R3,382
A0A093ZBX1,391
A0A093ZLM0,293
A0A094A0U4,393
A0A094A5H2,385
A0A094A6E4,330
A0A094AAG3,382
A0A094ALY9,189
A0A094ARP5,438
A0A094ASG0,352
A0A094AXN1,382
A0A094B6S3,391
A0A094B8L2,396
A0A094BEY7,397
A0A094BRW8,1271,HH|105|336|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A094C5H7,495,HH|41|248|#893519|PF00106_short chain dehydrogenase,HH|352|416|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A094C5S6,394
A0A094CIH5,487
A0A094CQH9,394
A0A094DI42,382
A0A094DNQ2,363
A0A094E6F4,398
A0A094EFH6,350
A0A094EIR1,394
A0A094EPS3,338
A0A094EWA3,885
A0A094F2P5,382
A0A094F5P5,338
A0A094F830,338
A0A094FE21,399
A0A094FHJ0,363
A0A094FIQ4,392
A0A094FMN8,352
A0A094FN38,382
A0A094G1T7,393
A0A094G210,351
A0A094G847,495
A0A094G8L2,382
A0A094GBD8,394
A0A094GSM5,382
A0A094GZX4,351
A0A094H1D7,382
A0A094H3T3,392
A0A094H4J5,394
A0A094H6R8,338
A0A094ID14,532
A0A094IN09,338
A0A094IVB3,351
A0A094J6S4,405,HH|71|281|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A094JAI6,1120,HH|105|336|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|409|476|#e8ceda|PF00498_FHA domain,HH|532|766|#5c53f8|PF00069_Protein kinase domain
A0A094JBA4,398
A0A098E091,387
A0A098VS40,421,HH|129|306|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A098VU05,410,HH|67|193|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0A0HTK8,276,HH|177|219|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|93|170|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0A1SZ60,630
A0A0A1T2S7,569,HH|73|310|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0A1T3I6,552
A0A0A1T7C1,359
A0A0A1T9R6,635
A0A0A1TL71,613,HH|75|315|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0A1UIC4,182
A0A0A1UIL1,310
A0A0A1UJW0,615
A0A0A1UJX2,356
A0A0A1UQ03,381
A0A0A1V0A4,639
A0A0A1V1E5,339
A0A0A1V7Z8,537
A0A0A1VA99,358
A0A0A1VAF9,356
A0A0A2J1X4,367
A0A0A2JBW7,815
A0A0A2JEJ9,420
A0A0A2JPW5,365
A0A0A2JVP7,317
A0A0A2KL20,410
A0A0A2KWA6,367
A0A0A2LDC3,819
A0A0A2VDR5,534
A0A0A2VJT0,630
A0A0A2VR17,569
A0A0A2VY68,850
A0A0A2VYA5,370
A0A0A2W0H5,360
A0A0A7DL33,321
A0A0B0DFB4,314
A0A0B0DLX8,402
A0A0B0DME1,700
A0A0B0DSK9,398
A0A0B0DU96,676
A0A0B0E7T9,408
A0A0B0E9L8,391
A0A0B0EB88,796,HH|109|375|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0B1P7B6,422
A0A0B1PD39,605
A0A0B2WQI7,601
A0A0B2WZV7,298
A0A0B2X1U6,541
A0A0B2X5L4,524
A0A0B2XHY5,361
A0A0B4EB98,381
A0A0B4EN03,577
A0A0B4F0K9,362
A0A0B4FA01,246
A0A0B4FMW4,793
A0A0B4FP45,537
A0A0B4G3L8,379
A0A0B4GIZ3,356
A0A0B4GNB7,382
A0A0B4H3N4,793
A0A0B4H748,242
A0A0B4H7C0,453
A0A0B4H7V4,745
A0A0B4H8D6,245
A0A0B4HCA4,538
A0A0B4HN08,384
A0A0B4HQD8,791
A0A0B4HYT7,378
A0A0B4IAB3,361
A0A0B4IER9,538
A0A0B4IF95,382
A0A0B4IHB3,899,HH|85|407|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|507|633|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0B4IIJ2,419
A0A0B4IJP0,337
A0A0B7F0F6,368
A0A0B7F0G8,360
A0A0B7F0N2,357
A0A0B7F0Q1,357
A0A0B7F1Z6,351
A0A0B7F229,321
A0A0B7F3K0,322
A0A0B7F5A8,318
A0A0B7F7A3,351
A0A0B7F8H0,314
A0A0B7FCB0,324
A0A0B7FFE4,260
A0A0B7FGN3,318
A0A0B7FL26,382
A0A0B7FMY1,115
A0A0B7FN78,356
A0A0B7FQ89,358
A0A0B7FQF4,184
A0A0B7FR21,223
A0A0B7FSE1,660
A0A0B7FT97,743
A0A0B7FUX7,363
A0A0B7FUY2,365
A0A0B7FY08,393
A0A0B7G165,365
A0A0B7G340,316
A0A0B7G4H1,700
A0A0B7JIX7,401
A0A0B7JMD6,630
A0A0B7JS93,393
A0A0B7K4V5,394
A0A0B7K6S2,519
A0A0B7K6S7,388
A0A0B7K9E9,395
A0A0B7KA41,335
A0A0B7KAK2,320
A0A0B7KF68,322
A0A0B7KF87,322
A0A0B7KFX7,642
A0A0B7KHL5,387
A0A0B7KKI3,122
A0A0B7KKW5,130
A0A0C2F7M2,425
A0A0C2F903,576
A0A0C2FH25,1843
A0A0C2IEJ5,393
A0A0C2IES4,309
A0A0C2IMK2,656
A0A0C2W6Y7,408
A0A0C2W7D5,637,HH|48|294|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|470|601|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C2WNA9,519,HH|10|261|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|364|480|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C2WPB2,407
A0A0C2WPJ7,385
A0A0C2WY12,418,HH|129|366|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C2X1R3,570
A0A0C2XCT6,708,HH|119|379|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C2XG69,400
A0A0C2YBV3,613
A0A0C2ZYB9,349
A0A0C3AKS7,728,HH|48|300|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|564|690|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C3ARA1,708
A0A0C3ASP0,396
A0A0C3B3A9,399
A0A0C3B3T5,423,HH|19|111|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|256|382|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C3B6I5,672
A0A0C3B766,346
A0A0C3B7P4,406
A0A0C3BJQ5,332
A0A0C3CP60,365
A0A0C3CRE9,342
A0A0C3D1N7,393
A0A0C3DDB0,1005,HH|85|459|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|797|953|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C3DMT8,394
A0A0C3EEV9,688
A0A0C3F7Q7,609,HH|365|407|#4d8740|PF19343_Family of unknown function (DUF5923),HH|411|525|#4d8740|PF19343_Family of unknown function (DUF5923),HH|138|317|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|537|585|#0002df|PF14613_Protein of unknown function (DUF4449)
A0A0C3FFF8,362
A0A0C3FFN2,254
A0A0C3FR79,339
A0A0C3FV27,178,HH|40|167|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C3FYC4,365
A0A0C3FYC9,138,HH|83|116|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C3GI02,283
A0A0C3H1J4,587
A0A0C3H2L9,362
A0A0C3JRY4,261
A0A0C3JW09,207
A0A0C3JWD6,661
A0A0C3LFR5,618
A0A0C3NCS7,578
A0A0C3P2N1,670
A0A0C3PGK8,683
A0A0C3PT91,370
A0A0C3Q4S8,613,HH|52|309|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|454|573|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C3Q5J6,469,HH|48|262|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|362|425|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C3QVQ1,457
A0A0C3RQX3,726,HH|60|360|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C3S3B5,589
A0A0C4DI87,338
A0A0C4DNP1,387
A0A0C4DNS3,280
A0A0C4DNU4,464
A0A0C4DWW6,401
A0A0C4DX73,616
A0A0C4DY08,409,HH|176|291|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|298|346|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C4DYF2,415
A0A0C4DYX4,359
A0A0C4E0P1,382,HH|123|320|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C4E313,647
A0A0C4E3X1,325
A0A0C4E530,396
A0A0C4E8A2,325
A0A0C4ECI4,377
A0A0C4ECU2,330
A0A0C4EEL6,229
A0A0C4EFA8,317,HH|102|149|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|183|226|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C4ERU5,454
A0A0C4ERW9,272
A0A0C4EUF7,339
A0A0C4EZ29,509
A0A0C4F9W5,303
A0A0C9LYQ2,598
A0A0C9SL04,345
A0A0C9SMC2,655,HH|64|339|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C9SRH3,345
A0A0C9SUN8,675
A0A0C9SXL2,601
A0A0C9T1I0,625
A0A0C9TIX5,690
A0A0C9TQW6,704
A0A0C9TZW6,667
A0A0C9U854,521
A0A0C9U908,134,HH|66|134|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C9USP9,276
A0A0C9UT30,402
A0A0C9V9W8,546,HH|48|270|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|408|534|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C9VHR2,286
A0A0C9VSL0,500
A0A0C9VWG7,619
A0A0C9W3M0,611
A0A0C9W3X0,371
A0A0C9W5Z2,578,HH|48|302|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|429|552|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0C9WCY2,564
A0A0C9WDK0,668,HH|66|349|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0C9WFQ9,559
A0A0C9WXQ7,581
A0A0C9XE26,343
A0A0C9YP62,667
A0A0C9Z2J2,635
A0A0C9Z647,677
A0A0C9ZMD3,296
A0A0C9ZZ45,394
A0A0D0AGR4,236
A0A0D0AL52,718,HH|82|401|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0D0AMS9,664
A0A0D0BB40,451
A0A0D0C0C7,193
A0A0D0C0G3,195
A0A0D0CBB0,664
A0A0D0CCA2,370
A0A0D0CKT4,193
A0A0D0CKT8,147
A0A0D0CM75,180
A0A0D0CV66,614
A0A0D0D7T8,446
A0A0D0DYH4,421
A0A0D0E695,677
A0A0D0EB00,655
A0A0D0EBE4,320
A0A0D1CHR5,762
A0A0D1E6L1,371
A0A0D1W1D4,408
A0A0D1XF56,362
A0A0D1YF04,383
A0A0D1YWF9,609
A0A0D1YXH7,618
A0A0D1Z6F1,617
A0A0D1ZN85,362
A0A0D1ZTP1,344
A0A0D1ZZE1,679
A0A0D2AGE3,638,HH|85|338|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|480|597|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0D2ANN3,651,HH|56|372|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|477|612|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0D2B6L8,362
A0A0D2BB96,368
A0A0D2BH13,383
A0A0D2BK54,410
A0A0D2BKG3,374
A0A0D2BQ72,408
A0A0D2BR19,332
A0A0D2BUH7,614
A0A0D2C2B9,409
A0A0D2C7N4,362
A0A0D2CCR2,363
A0A0D2CEU5,618
A0A0D2CGS3,658
A0A0D2CK37,613
A0A0D2CYM2,405
A0A0D2CZ06,369
A0A0D2D206,666
A0A0D2D664,335
A0A0D2D9V1,685
A0A0D2DPV7,379
A0A0D2DTY5,590,HH|346|460|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|504|527|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|40|240|#f7e06a|PF11807_Mycotoxin biosynthesis protein UstYa
A0A0D2DYM6,376
A0A0D2E0K9,617
A0A0D2EDR6,383
A0A0D2EE95,742,HH|77|380|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|582|712|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0D2EIL3,376
A0A0D2EJY3,363
A0A0D2ETA8,385
A0A0D2EZC7,384
A0A0D2EZH2,607,HH|74|325|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|436|568|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0D2F3M9,405
A0A0D2F4M5,378
A0A0D2FU82,793,HH|79|407|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|614|747|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0D2G164,387
A0A0D2G9B5,384
A0A0D2GDT0,407
A0A0D2HA46,320
A0A0D2HB08,403
A0A0D2HER3,385
A0A0D2HGH5,320
A0A0D2I581,572
A0A0D2I6Y7,181
A0A0D2IAF0,362
A0A0D2IRC0,102
A0A0D2IUZ3,687
A0A0D2IWH9,409
A0A0D2JFD5,376
A0A0D2JSE2,652
A0A0D2K829,368
A0A0D2KPV7,617
A0A0D2KQZ9,301
A0A0D2L070,409
A0A0D2LDS6,328
A0A0D2LGV5,313
A0A0D2M1N4,337
A0A0D2MIA5,638,HH|117|369|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|487|604|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0D2MNS5,352
A0A0D2N6P1,624
A0A0D2P6I0,620
A0A0D2PGN2,342
A0A0D2PWI2,896,HH|48|189|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|316|384|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0D2Q202,313
A0A0D2XFT3,261
A0A0D2XK45,403
A0A0D2XKT7,246
A0A0D2XQH2,572
A0A0D2XTU9,412
A0A0D2XZ37,578
A0A0D2Y1T6,115
A0A0D2Y718,600
A0A0D2YBM6,324
A0A0D2YK19,346
A0A0D7A608,527
A0A0D7AR41,234
A0A0D7AWR7,549
A0A0D7AZP4,528,HH|55|303|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|423|520|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0D7B4G2,297
A0A0D7BDG3,305,HH|9|179|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0D7BDR1,551
A0A0D7BEH6,578
A0A0D7BKM1,564
A0A0D9N4A3,592
A0A0D9NK72,612
A0A0D9NNM1,379
A0A0D9NQB6,962
A0A0D9NQW1,314
A0A0D9NRE3,378
A0A0D9NSC2,532
A0A0D9NTT3,356
A0A0D9P6L9,537
A0A0E0RYC2,338
A0A0E0S8J8,287
A0A0F0I246,350
A0A0F0I806,1138,HH|54|345|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0F0IBW7,390
A0A0F0IFR5,611
A0A0F0IHD9,341
A0A0F0IK08,387
A0A0F2LYP8,690,HH|131|379|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|542|663|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0F2M048,686,HH|94|373|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0F2MHX9,307
A0A0F2MIH6,576
A0A0F2MJY8,393
A0A0F2MLY8,425
A0A0F4G447,674
A0A0F4G6N0,419
A0A0F4G9M2,666,HH|64|347|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|500|630|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0F4GBJ7,610,HH|114|317|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0F4GHY4,419
A0A0F4GJP1,1006
A0A0F4GM26,392
A0A0F4GNX0,353
A0A0F4GR75,370
A0A0F4GRH8,929,HH|76|461|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|737|883|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0F4GT00,332
A0A0F4GX97,637
A0A0F4H1R9,624
A0A0F4YE03,635
A0A0F4ZCE5,437
A0A0F4ZJV7,656
A0A0F7RVY0,635
A0A0F7RY93,370
A0A0F7S7B3,331
A0A0F7TJ40,358
A0A0F7TKD9,343
A0A0F7TMS3,414
A0A0F7TS50,357
A0A0F7TYM6,359
A0A0F7VGQ2,351
A0A0F7ZGR3,627
A0A0F7ZHW4,551
A0A0F7ZJT6,546
A0A0F7ZKE7,695
A0A0F7ZKL0,547
A0A0F7ZPL7,382
A0A0F7ZR69,202
A0A0F7ZRN8,657
A0A0F7ZS62,162
A0A0F7ZS77,376
A0A0F7ZUV5,537
A0A0F7ZWF9,652
A0A0F7ZYT2,627
A0A0F8A039,655
A0A0F8A0A1,824,HH|72|307|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|704|799|#9fb4f4|PF10528_GLEYA domain
A0A0F8A0K4,386
A0A0F8A1R3,552
A0A0F8A4E9,508
A0A0F8A4Q7,545
A0A0F8B351,651
A0A0F8CNX3,590
A0A0F8URR2,332
A0A0F8V8S6,361
A0A0F8W6I0,382
A0A0F8WX93,332
A0A0F9WDC2,308
A0A0F9X0I7,624
A0A0F9ZGV2,552
A0A0G2DXB7,1434
A0A0G2DYV8,479
A0A0G2E3R6,547,HH|79|322|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|390|510|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0G2E4V6,311
A0A0G2E6K5,147
A0A0G2EDI3,235
A0A0G2EEK2,406
A0A0G2EFR4,590
A0A0G2ET15,394
A0A0G2EUA6,317
A0A0G2EWS7,654
A0A0G2F5W5,283
A0A0G2F9B1,388
A0A0G2FCS1,335
A0A0G2FDL8,318
A0A0G2FG16,409
A0A0G2FI58,377
A0A0G2FLP9,564
A0A0G2FNI6,650
A0A0G2FTB0,314
A0A0G2FTH2,329
A0A0G2FWB3,503
A0A0G2G035,340
A0A0G2GB29,666,HH|59|327|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|504|638|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0G2GEG2,653,HH|358|592|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0G2GUG8,271
A0A0G2H6R0,262
A0A0G2HJR1,407
A0A0G2HMP9,302
A0A0G2HNV4,223,HH|80|140|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0G2HXK2,406
A0A0G2I587,1131
A0A0G2I8P6,816
A0A0G2I941,643
A0A0G2IAS2,439
A0A0G2ICP6,750
A0A0G2IGH9,538
A0A0G2J5V5,360
A0A0G2J6J9,325
A0A0G4KK30,2124,HH|262|319|#e40d60|PF06883_RNA polymerase I, Rpa2 specific domain,HH|889|1137|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|1291|1408|#f2b365|PF18132_Tyosinase C-terminal domain,HH|369|697|#7f9945|PF00562_RNA polymerase Rpb2, domain 6,HH|1777|2036|#cdba0d|PF02540_NAD synthase,HH|157|222|#a6489b|PF04565_RNA polymerase Rpb2, domain 3,HH|1440|1716|#a9c937|PF00795_Carbon-nitrogen hydrolase
A0A0G4KK98,339
A0A0G4KKL5,339
A0A0G4KL14,625
A0A0G4KRK8,241
A0A0G4KTS8,405
A0A0G4KXE8,381
A0A0G4KXM3,381
A0A0G4KZ42,447
A0A0G4L6X2,341
A0A0G4LG75,1246,HH|753|989|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|413|649|#ff713d|PF00701_Dihydrodipicolinate synthetase family,HH|229|333|#25fbf9|PF01636_Phosphotransferase enzyme family
A0A0G4LGJ4,618
A0A0G4LGV0,259
A0A0G4LMV7,341
A0A0G4LN34,420
A0A0G4LPB5,248
A0A0G4M1R8,544
A0A0G4M2Y8,1005,HH|482|958|#0d1440|PF00135_Carboxylesterase family,HH|345|441|#03f489|PF02535_ZIP Zinc transporter,HH|59|285|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A0G4M3R1,403
A0A0G4M788,132
A0A0G4MU28,67
A0A0G4MW88,234
A0A0G4N2N6,341
A0A0G4N434,1576,HH|1518|1575|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|101|377|#7b9454|PF00664_ABC transporter transmembrane region,HH|793|882|#7b9454|PF00664_ABC transporter transmembrane region,HH|1267|1523|#7b9454|PF00664_ABC transporter transmembrane region,HH|951|1108|#eaa7d9|PF00005_ABC transporter,HH|446|603|#eaa7d9|PF00005_ABC transporter
A0A0G4N5F6,1313
A0A0G4N5J8,1397
A0A0G4N7R0,526
A0A0G4NL88,420
A0A0G4NN18,588
A0A0G4NN28,569
A0A0G4NU02,306
A0A0G4NX83,410
A0A0G4PVJ3,497
A0A0G4PWG2,367
A0A0H1B385,360
A0A0H1B458,407
A0A0H1B4Y0,816
A0A0H1BKK9,439
A0A0H1BKR6,749
A0A0H1BRE8,804
A0A0H1BRF6,324
A0A0H2RSH5,602,HH|75|314|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|430|563|#f2b365|PF18132_Tyosinase C-terminal domain
A0A0I9XPQ9,572
A0A0I9XR04,526
A0A0I9XRG6,718
A0A0I9Y025,382
A0A0I9Y4T4,403
A0A0I9YBA8,268
A0A0I9YCY9,315
A0A0I9YCZ2,777
A0A0I9YNC9,671
A0A0I9ZEE2,350
A0A0J0BQU8,324
A0A0J0BV06,630
A0A0J0C5Y4,378
A0A0J0CDZ5,586
A0A0J0D4U4,345
