DATASET_EXTERNALSHAPE
SEPARATOR SPACE
DATASET_LABEL Count
COLOR #A020F0
LEGEND_TITLE Count
FIELD_COLORS #10aefd #db9758 #f71252 #07981e #6985b5 #ecd75a #fb8b34 #8e1730 #52099b #119d58 #faec7f
Chara_braunii 1.0 0 0 0 0 0 0 0 0 0 0
Pocillopora_damicornis 0 0 0 0 1.0 0 5 0 0 0 0
Flavobacterium_macacae 0 1.0 0 0 0 0 0 0 0 0 0
Thamnocephalis_sphaerospora 0 0 0 0 0 0 0 0 0 5 0
Dimargaris_cristalligena 0 0 0 0 0 0 0 0 0 5 0
Edaphobacter_modestus 0 0 0 0 0 0 0 0 0 0 1.0
Wallemia_hederae 0 0 0 0 0 0 0 0 4.0 0 0
Callorhinchus_milii 0 0 0 0 5 0 0 0 0 0 0
Brevifollis_gellanilyticus 0 0 0 0 0 0 0 0 0 0 1.0
Chitinophaga_japonensis 0 1.0 0 0 0 0 0 0 0 0 0
Octopus_vulgaris 0 0 0 0 1.0 5 0 0 0 0 0
Clytia_hemisphaerica 0 4.0 0 0 0 0 3.0 0 0 0 0
Candidatus_Manganitrophus_noduliformans 0 0 0 0 0 0 0 0 0 0 1.0
Didymodactylos_carnosus 0 0 0 1.0 1.0 0 0 0 0 0 0
Longimicrobium_terrae 0 0 0 0 0 0 0 0 0 0 2.0
Erpetoichthys_calabaricus 0 0 0 0 3.0 0 0 0 0 0 0
Letharia_columbiana 0 0 1.0 0 0 0 0 0 1.0 0 0
Agaricus_bisporus 0 0 5 0 0 0 0 0 0 0 0
Ktedonospora_formicarum 0 0 0 0 0 0 0 0 0 0 1.0
Branchiostoma_lanceolatum 0 0 0 0 5 0 0 0 0 0 0
Pythium_oligandrum 0 0 0 0 0 0 0 5.0 0 0 0
Danio_rerio 0 0 0 0 5.0 0 0 0 0 0 0
Mytilus_edulis 0 0 0 0 0 5 0 0 0 0 0
Gallus_gallus 0 0 0 0 5 0 0 0 0 0 0
Echinicola_pacifica 0 0 0 0 0 0 0 0 0 0 1.0
Peribacillus_psychrosaccharolyticus 0 0 0 0 0 0 0 0 0 0 1.0
Adiantum_capillus-veneris 0 0 0 0 0 0 0 0 0 0 5
Dissophora_globulifera 0 0 0 0 0 0 0 0 0 0 1.0
Glutinoglossum_americanum 0 0 0 0 0 0 0 0 0 0 3.0
Phytophthora_infestans 0 0 0 0 0 0 0 4.0 0 0 0
Ectocarpus_siliculosus 0 1.0 0 0 0 0 0 0 0 0 0
Chlorella_variabilis 0 0 1.0 0 0 0 0 0 0 0 0
Aureococcus_anophagefferens 0 0 0 0 0 0 0 0 0 0 1.0
Batrachochytrium_dendrobatidis 0 0 0 0 0 0 0 0 5 2.0 0
Ciona_intestinalis 0 0 0 0 3.0 0 0 0 0 0 1.0
Anolis_carolinensis 0 0 0 0 3.0 0 0 0 0 0 0
Orbilia_oligospora 0 1.0 5 0 0 0 0 0 4.0 0 0
Singulisphaera_acidiphila 0 0 0 1.0 0 0 0 0 0 0 0
Galdieria_sulphuraria 0 0 0 1.0 0 0 0 0 0 0 0
Caenorhabditis_elegans 0 0 0 0 0 5 0 0 0 0 0
Dictyostelium_discoideum 0 0 0 0 0 0 0 0 0 0 2.0
Burkholderia_pseudomallei 0 1.0 0 0 0 0 0 0 0 0 0
Rhizobium_etli 0 0 0 0 0 0 0 0 0 0 1.0
Streptomyces_coelicolor 0 0 0 1.0 0 0 0 0 0 0 0
Capitella_teleta 0 0 0 0 2.0 1.0 0 0 0 0 0
Helobdella_robusta 0 0 0 0 0 1.0 0 0 0 0 0
Lottia_gigantea 0 1.0 0 0 0 2.0 0 0 0 0 0
Nannochloropsis_gaditana 0 0 0 0 0 0 0 0 0 0 1.0
